,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,Bitcoin just had its 2nd-straight losing month as crypto sold off in August along with stocks and bonds,The world's biggest cryptocurrency failed to eke out a gain in August even as crypto investors cheered Grayscale's win over the SEC.,https://markets.businessinsider.com/news/currencies/bitcoin-price-crypto-token-august-stocks-bonds-equities-markets-investors-2023-9,https://i.insider.com/64f217441e6afd00196a380f?width=1200&format=jpeg,2023-09-01T17:42:25Z,"bitcoin cryptocurrency digital currencyEdward Smith/Getty Images
<ul>
<li>Bitcoin finished August about 10% lower, its second consecutive losing month. </li>
<li>Crypto was caught up in a tough sell… [+2148 chars]"
1,"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks rise to gain for the week as traders assess August jobs report,"Wage growth slowed in August and unemployment climbed, calming investors worried about more aggressive moves by the Fed.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-equities-unemployment-august-jobs-report-inflation-2023-9,https://i.insider.com/648359eca460da00192438f5?width=1200&format=jpeg,2023-09-01T20:07:02Z,"US Federal Reserve Chair Jerome Powell attends a press conference in Washington, DC, on March 22, 2023.Liu Jie/Xinhua via Getty Images
<ul>
<li>Stocks were mostly higher on Friday with major indexes… [+2735 chars]"
2,"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks rise as jobs data dampens fears of a tighter Fed,"The unemployment rate rose to 3.8% in August, and job gains from prior months were revised lower.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-august-jobs-report-fed-rate-hike-2023-9,https://i.insider.com/64f1e2a95114270019af0ea2?width=1200&format=jpeg,2023-09-01T13:37:43Z,"Traders work on the floor of the New York Stock Exchange (NYSE) on March 28, 2023 in New York City.Spencer Platt/Getty Images
<ul>
<li>US stocks rose as fears diminished that the Fed would raise int… [+2210 chars]"
3,"{'id': None, 'name': 'Hivemind.vc'}",,Nostr: A Decentralized Messaging Protocol,"Why I’m Betting Big on Nostr Nostr – the simple, decentralized messaging protocol with the potential to replace (and even integrate with) centralized apps like Twitter and WhatsApp – is going mainstream. And fast.  I’ve never seen anything quite like it. From…",https://hivemind.vc/nostr/,https://hivemind.vc/wp-content/uploads/2023/01/nostrich-with-light.png?w=1024,2023-09-01T15:00:30Z,"Image generated with DALLE via micropay.ai
Nostr – the simple, decentralized messaging protocol with the potential to replace (and even integrate with) centralized apps like Twitter and WhatsApp – i… [+17956 chars]"
4,"{'id': None, 'name': 'Biztoc.com'}",youtube.com,"NEXT BTC PRICE TARGET? Cyber, FET, Bitcoin Cash Price Analysis","In this Altcoin Buzz Trading segment we conduct crypto price analysis on Bitcoin BTC, and altcoins: Bitcoin Cash BCH, ... #bitcoinbtc #bitcoincashbch",https://biztoc.com/x/c37f1e615531c60c,https://c.biztoc.com/p/c37f1e615531c60c/s.webp,2023-09-01T07:40:14Z,"In this Altcoin Buzz Trading segment we conduct crypto price analysis on Bitcoin BTC, and altcoins: Bitcoin Cash BCH, ...
#bitcoinbtc#bitcoincashbch
This story appeared on youtube.com, ."
5,"{'id': None, 'name': 'Forbes'}","Maria Gracia Santillana Linares, Forbes Staff, 
 Maria Gracia Santillana Linares, Forbes Staff
 https://www.forbes.com/sites/mariagraciasantillanalinares/",Bitcoin Loses Weekly Gains After SEC Postpones Spot ETF Ruling,The cryptocurrency market falls 3% as a decision on spot bitcoin ETF applications gets pushed back to October.,https://www.forbes.com/sites/digital-assets/2023/09/01/bitcoin-loses-weekly-gains-after-sec-postpones-spot-etf-ruling/,https://imageio.forbes.com/specials-images/imageserve/64f2270bd1f2ad97e01e813e/0x0.jpg?format=jpg&width=1200,2023-09-01T18:31:29Z,"Cryptocurrency concept. Bitcoin trading. Market chart link : ... [+] https://www.freepik.com/free-photo/stock-market-chart-technology-blue-background_17122299.htm
getty
Bitcoin fell 3% on Friday af… [+3097 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",beincrypto.com,"Bitcoin Price Slides Again, But Whales Back Wall Street Memes to Defy the Bear Market","Major cryptocurrencies are fully re-tracing their Grayscale pump, with the global crypto market cap plummeting 3.6% over the past day. Bitcoin led the decline by plunging 4.5%, while altcoins like Ethereum, XRP and Cardano are also seeing significant losses. …",https://biztoc.com/x/98020fe5850bf7c3,https://c.biztoc.com/p/98020fe5850bf7c3/s.webp,2023-09-01T14:40:09Z,"Major cryptocurrencies are fully re-tracing their Grayscale pump, with the global crypto market cap plummeting 3.6% over the past day. Bitcoin led the decline by plunging 4.5%, while altcoins like Et… [+284 chars]"
7,"{'id': None, 'name': 'ReadWrite'}",Michael Graw,10 Best Crash Gambling Sites for 2023,"Crash games are one of the latest crazes in crypto casinos. They are similar to standard arcade games but have […]
The post 10 Best Crash Gambling Sites for 2023 appeared first on ReadWrite.",https://readwrite.com/cryptocurrency/best-crash-gambling-sites/,https://readwrite.com/wp-content/uploads/2023/09/best-crash-casinos.png,2023-09-01T15:05:12Z,"Crash games are one of the latest crazes in crypto casinos. They are similar to standard arcade games but have a gambling twist. The goal is to score the biggest multiplier before the game crashes. … [+22608 chars]"
8,"{'id': None, 'name': 'Forbes'}","Owen Tedford, Contributor, 
 Owen Tedford, Contributor
 https://www.forbes.com/sites/owentedford/",Gary Gensler’s Crypto Approach Likely Won’t Be Slowed By The Courts,"Gary Gensler has had high-profile defeats in court lately, but it will not lead to a change from his regulation-by-enforcement strategy.",https://www.forbes.com/sites/owentedford/2023/09/01/gary-genslers-crypto-approach-likely-wont-be-slowed-by-the-courts/,https://imageio.forbes.com/specials-images/imageserve/64f0da88120cd8250a1e813e/0x0.jpg?format=jpg&width=1200,2023-09-01T13:37:44Z,"WASHINGTON, DC - JULY 19: Securities and Exchange Commission Chairmain Gary Gensler testifies before ... [+] the Financial Services and General Government Subcommittee July 19, 2023 in Washington, DC… [+4389 chars]"
9,"{'id': None, 'name': 'CoinDesk'}",Stephen Alpher,U.S. August Job Adds of 187K Vs Estimates for 170K; Unemployment Rate Rises to 3.8%,"With spot bitcoin ETF aspirations sidelined after the SEC yesterday pushed off decisions on a raft of new applications, crypto bulls are hoping an employment slowdown and lower interest rates could provide a positive catalyst.",https://www.coindesk.com/markets/2023/09/01/us-august-job-adds-of-187k-vs-estimates-for-170k-unemployment-rate-rises-to-38/,https://www.coindesk.com/resizer/sw2fdfswFxNFbCtXv3h3q1b0Q7s=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/VU3JDDUCFBAXBNUYAH6YT4KLVM.jpg,2023-09-01T12:36:10Z,"The U.S. added 187,000 jobs in August versus expectations for 170,000 and up from a downwardly revised 157,000 in July (revised from 187,000).
The unemployment rate for August was 3.8% versus foreca… [+1732 chars]"
