press,count,email,answer,permission,비고
Cointelegraph,29579,info@cointelegraph.com,,,
Yahoo Entertainment,25483,accessibility@yahooinc.com,,,
newsBTC,19945,contact@newsbtc.com,,,
Bitcoinist,17514,info@bitcoinist.net,,,
CoinDesk,16330,contentlicensing@coindesk.com,,,
Seeking Alpha,15919,legal-issues@seekingalpha.com,,,
PRNewswire,15573,hyunjoon.park@cision.com,O,O,
Business Insider,10377,hello@insider-inc.com,,,
Activistpost.com,8285,advertising@activistpost.com,,,
Ambcrypto.com,6801,partners@ambcrypto.com,,,
CNBC,5656,Licensing@cnbc.com,O,X,
MarketWatch,5022,licensing@fnlondon.com,,,
U.Today,4997,editor@u.today,,,
Crypto Daily,4597,hello@cryptodaily.co.uk,,,
Reuters,4517,,,,
The Daily Hodl,4343,,,,
Decrypt,4310,josh@decryptmedia.com,O,,
CNA,4056,content_dist@mediacorp.com.sg,,,
CryptoSlate,3887,,,,
NDTV News,3765,feedback@ndtv.com,,,
ValueWalk,3560,info@valuewalk.com,,,
Finbold.com,3477,office@finbold.com,,,
ZyCrypto,3238,info@zycrypto.com,,,
GlobeNewswire,3139,support@globenewswire.com,,,
Coinjournal.net,3054,press@coinjournal.net,,,
Finextra,2885,contact@finextra.com,,,
CryptoGlobe,2808,info@cryptoglobe.com,,,
TechCrunch,2620,events@techcrunch.com,,,
Investopedia,2596,contact@investopedia.com,,,
Investing.com,2521,support@investing.zendesk.com,O,O,
Forkast.news,2488,hello@forkast.news,,,
DailyFX,2407,feedback@dailyfx.com,,,
ZDNet,2266,Redventures@wrightsmedia.com,,,
FXStreet,2198,contact@fxstreet.com,,,
Barron's,2170,press@wsjbarrons.com,,,
The Punch,1970,oonileowo@punchng.com,,,
Dcforecasts.com,1923,,,,사이트 접속 안됨
Moneycontrol,1865,mcsales@nw18.com,,,
International Business Times,1859,info@ibtimes.com,,,
CNET,1845,redventures@wrightsmedia.com,,,
Gadgets360.com,1784,support@gadgets360.com,,,
New York Post,1645,agomez@nypost.com,,,
Fortune,1585,pr@fortune.com,,,
Marketscreener.com,1585,cbobillier@surperformance.com,,,
Sensorstechforum.com,1575,support@sensorstechforum.com,,,
Livemint,1493,Ashutosh.Singh@hindustantimes.com,,,
The Indian Express,1479,feedback@indianexpress.com,,,
SiliconANGLE News,1405,support@siliconangle.com,,,
RT,1346,info@rttv.ru,,,
Tech Times,1320,info@techtimes.com,,,
TechRadar,1257,news@techradar.com,,,
Gizmodo Australia,1252,contactus@pedestriangroup.com.au,,,
VentureBeat,1237,tips@venturebeat.com,,,
The Wall Street Journal,1190,,,,연락올 예정
BleepingComputer,1162,,,,메시지 보냄
Quartz India,1159,talk@qz.com,,,
Vice News,1139,press@vice.com,,,
Blockworks.co,1132,news@blockworks.co,,,
The Verge,1129,tips@theverge.com,,,
Newsweek,1121,support@newsweek.com,,,
Bangkok Post,1109,nanthanas@bangkokpost.co.th,,,
Post Magazine,1106,,,,메시지 보냄
The Star Online,1078,michelletam@thestar.com.my,,,
Toronto Star,1064,circmail@thestar.ca,,,
New Zealand Herald,1056,newsdesk@nzherald.co.nz,,,
Business Today,1024,syndications@intoday.com,,,
Entrepreneur,1009,ENTcustserv@cdsfulfillment.com,,,
FX Empire,1004,info@fxempire.com,,,
Fox Business,903,support@foxbusiness.zendesk.com,,,
Sputnik International,902,office@ria.ru,,,
Independent.ie,888,info@independent.ie,,,
Securityweek.com,877,press@www.securityweek.com,,,
The Irish Times,857,readersrep@irishtimes.com,,,
BBC News,841,haveyoursay@bbc.co.uk,,,
CNN,833,copyrightagent@turner.com,,,
Theregister.com,828,news@theregister.com,,,
Associated Press,820,AP-PicRights@ap.org,,,
Infosecurity Magazine,801,infosecurity.press@reedexpo.co.uk,,,
Engadget,801,engadget@wrightsmedia.com,,,
Politico,796,contactpolitico@politico.com,,,
Techtarget.com,786,privacy@techtarget.com,,,
TweakTown,761,tweaktown@wrightsmedia.com,,,
Securityaffairs.co,753,pierluigi.paganini@securityaffairs.co,,,
Wccftech,751,sales@wccftech.com,,,
Bitrebels.com,738,,,,메시지 보냄
PCMag.com,732,brand_licensing@ziffdavis.com,,,
HackRead,720,,,,메시지 보냄
BusinessLine,713,bleditor@thehindu.co.in,,,
The Washington Post,708,syndication@washpost.com,,,
HYPEBEAST,703,info@hypebeast.com,,,
Mashable,696,mashable@wrightsmedia.com,,,
BankInfoSecurity.com,683,info@bankinfosecurity.com,,,
TechSpot,682,julio@techspot.com,,,
ABC News (AU),681,audienceteam@abc.net.au,,,
Digital Trends,679,dtmg@adcetera.com,,,
MakeUseOf,677,legal@valnetinc.com,,,
The Sports Daily,666,,,,메시지 보냄
Al Jazeera English,649,,,,메시지 보냄
Internet,648,admin@thehackernews.com,,,
Zacks.com,645,adiraimondo@zacks.com,,,
Wired,641,content_licensing@condenast.com,,,
Kiplinger's Personal Finance,637,licensing@futurenet.com,,,
Stuff.co.nz,624,syndication@stuff.co.nz,,,
Boing Boing,623,help@boingboing.net,,,
Cryptocynews.com,620,info@cryptonews.com,,,
CBS News,607,,,,처리중 메일 옴
Breitbart News,604,privacy@breitbart.com,,,
Gizmodo.com,601,tipbox@gizmodo.com,,,
Lowendbox.com,593,operations@lowendbox.com,,,
CBC News,590,"support@cbchelp.zendesk.com, jira@cbcrc-distribution.atlassian.net",O,fee,
Tokenist.com,587,thetokenist@gmail.com,,,
Help Net Security,574,berislav.kucan@helpnetsecurity.com,,,
Daily Beast,542,thedailybeast@wrightsmedia.com,,,
Ars Technica,538,press@arstechnica.com,,,
NBC News,534,NBCNewsMediaRelations@nbcuni.com,,,
ComputerWeekly.com,529,editor@computerweekly.com,,,
Financial Post,529,eservicesupport@postmedia.com,,,
Australian Financial Review,529,asymeonides@nine.com.au,,,
Fox News,527,support@foxnews.zendesk.com,,,
PC Gamer,523,licensing@futurenet.com,,,
Trendhunter.com,519,privacy@trendhunter.com,,,
Nakedcapitalism.com,509,advertising@nakedcapitalism.com,,,
Reason,503,permissions@reason.org,,,
Techreport.com,501,hello@clickout.com,,,
IT World Canada,499,ray@itwc.ca,,,
Threatpost,498,info@threatpost.com,,,
OilPrice.com,496,support@oilprice.com,,,
Lewrockwell.com,489,lewrockwell@mac.com,,,
pymnts.com,483,information@pymnts.com,,,
Itsecuritynews.info,475,,,,메시지 보냄
Los Angeles Times,466,SelfService@latimes.com,,,
Medium,463,yourfriends@medium.com,O,all rights to the content in their posts are owned wholly by the author,
Euronews,455,,,,
The Hindu,446,customercare@thehindu.co.in,,,
The Globe And Mail,421,Foreign@globeandmail.com,,,
iTnews,394,smcdonald@nextmedia.com.au,,,
FRANCE 24 English,386,dpd@francemm.com,,,
Sap.com,286,,,,
AllAfrica - Top Africa News,134,info@allafrica.com,,,
The Japan Times,108,,,,
Tech Xplore,105,,,,
Survivalblog.com,47,james@rawles.to,,,
The Block Crypto,44,privacy@theblock.co,,,
