date,time,title,content,press,link,year
2018-06-10,2018-06-10 20:32:13,"벤처스퀘어 ""블록체인과 스타트업 주제 컨퍼런스 14일 개최""","
			서울창업허브에서 10회 'GSC' 행사...비트코인 전도사 로저버 등 참석(지디넷코리아=방은주 기자)스타트업 전문 미디어이자 액셀러레이터인 벤처스퀘어(대표 명승은)는 블록체인 생태계와 스타트업의 미래를 진단하는 'GSC(Global Startup Conference) in HUB' 컨퍼런스를 오는 14일 서울 공덕동 서울창업허브에서 개최한다고 밝혔다. 이 행사에는 비트코인 전도사로 알려진 로저버(Roger Ver) 비트코인닷컴 CEO 등이 참석한다. 'GSC'는 벤처스퀘어가 지난 2013년부터 매년 봄가을 2회씩 개최해온 대규모 민간 스타트업 컨퍼런스다. 이번 10회째 행사는 서울창업허브와 손잡고 'GSC in HUB'라는 명칭으로 열린다. 주제는 ‘블록체인과 스타트업’이다. 전 세계 블록체인 혁신 사례를 주제별로 나눠 조망한다. 국내 스타트업이 미래 블록체인 시장에 어떻게 접근해야 할지 알려주는 계기가 될 전망이다.



벤처스퀘어가 '블록체인과 스타트업'을 주제로 GSC 컨퍼런스를 14일 서울 공덕동 서울창업허브에서 개최한다. 사진은 작년 행사 모습. 오전에는 로저버 비트코인닷컴 CEO가 '암호화폐가 보여줄 분산경제의 미래'를, 또 에너고랩스 COO 카이카이 양(KaiKai Yang)이 '탈중앙화 자원 거래 블록체인 프로젝트'를 주제로 각각 기조연설을 한다. 오후에는 분야별 사례 발표가 이어진다. 미국과 중국에서 금융과 기술 생태계를 연구하며 블록체인 가능성을 연구해온 이영달 동국대학교 경영학과 교수가 '비즈니스 관점의 블록체인, 글로벌 동향 그리고 기회와 위험관리'를 주제로 강연한다.또 네이든 썬(Nathan Sun) 큐바오 COO가 '퀄컴DApp 개발의 특장점'을 주제로, 나카노텟페이(Teppei Nakano) 남코인 대표가 'AI와 블록체인을 결합한 의료 기술 혁신'을 주제로, 이영환 W3C 블록체인커뮤니티그룹 의장이 '블록체인 기술 국제 동향과 표준화'를 주제로 각각 발표한다. ‘크립토펀드가 바라는 블록체인 스타트업’을 주제로 한 패널 토론도 열린다. 토론에는 네이든 선 COO, 나카노텟페이 대표, 최윤진 코인타임 한국대표, 장민후휴먼스케이프 대표, 탁기영 유니오 대표, 구태언테크앤로 변호사 등이 패널로 참석한다.참가비는 없고, 사전 등록자를 대상으로 선착순으로 스타트업 다이어리를 증정한다.명승은 벤처스퀘어 대표는 “세계적으로 블록체인의 기술적 함의는 기존 스타트업 생태계에 이미 상당한 영향을 주고 있다”며 “글로벌 블록체인 리더와 국내외 전문가로부터 블록체인과 스타트업의 미래에 대한 인사이트를 얻는 계기가 되길 기대한다""고 말했다.



방은주 기자(ejbang@zdnet.co.kr)  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요 카카오인베스트먼트-벤처스퀘어, AI스타트업 발굴 나서
",지디넷코리아,https://n.news.naver.com/mnews/article/092/0002139358?sid=105,2018
2018-06-10,2018-06-10 18:14:04,가상화폐거래소 자금세탁 차단한다,"
FIU, 직접 감독대상에 포함대부업체도 돈세탁 고리 차단…변호사·회계사도 신고 의무화정부가 자금세탁 방지를 위해 '가상화폐거래소'를 직접 감독하는 방안을 추진한다. 자금세탁 관련 규제를 받지 않았던 대부업자와 전자금융업체도 규제 대상에 포함될 전망이다.금융정보분석원(FIU)은 지난 8일 열린 '자금세탁방지 정책자문위원회'에서 ""가상화폐거래소를 자금세탁·테러자금조달방지(AML·CFT) 체계의 직접적인 감독 대상에 포함할 계획""이라며 ""국회와 협의해 관련 입법을 추진하겠다""고 밝혔다. 이날 위원회는 미국을 중심으로 강화되고 있는 자금세탁·테러자금조달 제재 움직임에 대한 대책을 논의하기 위해 마련됐다.이 법안이 통과되면 앞으로 가상화폐거래소는 자금세탁 의심 거래 등을 스스로 모니터링해 FIU에 보고해야 할 의무를 지게 된다. 만일 가상화폐거래소가 이 같은 의무를 준수하지 않으면 해당 가상화폐거래소의 모니터링 체계를 FIU나 위탁받은 금융감독원이 직접 검사할 수 있게 된다.FIU 관계자는 ""미국과 일본 등이 가상통화 취급업소에 자금세탁 방지 의무를 부과하고 있고 지난 3월 G20 재무장관회의에서 가상통화에 국제 기준을 적용하도록 결의한 데 대한 후속 조치""라고 설명했다.국회에는 이미 관련 법안이 발의된 상태다. 지난 3월 제윤경 더불어민주당 의원이 가상화폐거래소의 의심 거래 신고의무를 골자로 한 '특정 금융거래 정보의 보고 및 이용 등에 관한 법률 일부개정법률안'을 대표 발의한 바 있다.정부 기관이 가상화폐거래소를 직접 감독하겠다고 밝힌 건 이번이 처음이다.금융권에서는 ""대법원이 지난달 범죄수익으로 몰수한 비트코인에 대해 경제적 가치가 있는 재산이라고 판단하는 등 가상화폐가 점차 제도권으로 들어오는 것 아니냐""는 해석이 나오고 있다. FIU는 이 같은 결정이 가상화폐거래소와 가상화폐를 제도화한다는 의미는 아니라고 선을 그었다. 금융위원회 관계자는 ""해외 규제  동향을 살펴 제도화를 검토할 예정""이라며 ""이번 조치는 그와 별개로 자금세탁 등 불법행위에 대해 엄중히 대처하겠다는 뜻""이라고 설명했다. FIU는 자금세탁 방지 규제를 받지 않던 대부업자를 비롯해 전자지급결제대행업체(PG 업체), 결제대금예치업체(에스크로 업체) 등 전자금융 업종도 규제에 포함하는 방안도 검토한다.또 변호사 회계사 등 전문직 종사자가 업무수행 중 자금세탁·테러자금 등 혐의를 포착할 경우에도 FIU에 신고하도록 의무를 부여할 예정이다. 다만 고객 비밀 누설 등 문제가 생기지 않도록 의무적으로 신고해야 하는 대상은 충분한 논의를 거쳐 결정할 예정이다. [김동은 기자 / 오찬종 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]
		",A15면 2단,https://n.news.naver.com/mnews/article/009/0004165634?sid=101,2018
2018-06-10,2018-06-10 16:00:08,"잠잠했던 '매그니베르' 랜섬웨어, 파일리스 형태로 재등장...피해속출","




올해 초 기승을 부린 뒤 자취를 감췄던 매그니베르(Magniber) 랜섬웨어가 다시 등장했다. 과거와 달리 복호화가 불가능한 파일리스 형태로 무차별 배포돼 사용자 주의가 요구된다.7일 안랩, 체크멀 등 보안업계 따르면 최근 매그니베르 랜섬웨어가 윈도, 플래시 등 취약점을 이용해 다시 배포되는 것으로 나타났다. 각종 인터넷 커뮤니티 중심으로 감염 피해사례도 속출했다. 윈도7 이용자 피해가 크다.매그니베르 랜섬웨어는 4월 자취를 감췄던 방식과 달리 파일리스 형태로 파일 암호화 시 사용되는 키와 벡터값이 가변적이다. 공개키로 암호화해 공격자 개인키를 알지 못하면 복구가 어렵다.체크멀 관계자는 “지난달 말까지 국내서 기승을 부린 갠드크랩 랜섬웨어는 외부 C&amp;C(Command &amp; Control) 서버와 통신에 성공해야 암호화됐다”면서 “매그니베르 랜섬웨어는 외부 서버와 통신 없이도 암호화가 진행돼 감염 시 복호화가 사실상 불가능하다”고 말했다.매그니베르 랜섬웨어는 익스플로러(IE), 자바(JAVA), 플래시(Flash) 등 매그니튜드 익스플로잇킷(EK) 내 취약점을 악용한다. 웹사이트 광고 등에 악성코드를 심는 멀버타이징 방식을 이용한다. 웹사이트 내 드라마 다시보기 등을 이용하기 위해 광고를 본 것만으로도 매그니베르 랜섬웨어에 감염된다.배포된 매그니베르 랜섬웨어는 파일리스 형태다. 사용자 PC에 별도 실행파일을 다운로드하지 않는다. 취약점을 이용해 사용자 PC 시스템 폴더 등에 랜섬웨어 코드를 덧씌운다. 응용소프트웨어에 랜섬웨어 코드가 삽입되기 때문에 파일 암호화뿐 아니라 PC 사용에도 오류를 일으킬 가능성이 높다.



GettyImages매그니베르 랜섬웨어는 이전 배포형태와 마찬가지로 감염 PC의 한국어 환경을 확인해 작동한다. 공격자는 파일 암호화 후 복호화 키를 제공하는 대가로 비트코인, 대시코인을 요구한다.보안업계는 랜섬웨어 피해를 최소화하기 위해 각종 소프트웨어(SW)를 최신버전으로 업데이트할 것을 당부했다. 안랩 관계자는 “파일리스 형태 랜섬웨어를 예방하기 위해 확인되지 않은 페이지 접근을 피하고 주기적 보안 업데이트를 실시해야 한다”고 덧붙였다.정영일기자 jung01@etnews.com▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지]
",13면 3단,https://n.news.naver.com/mnews/article/030/0002714688?sid=105,2018
2018-06-10,2018-06-10 17:30:03,"비트코인 `고래` 1600명, 전체 시가총액 1/3 보유","
			가상화폐의 '큰손'을 뜻하는 소수의 '고래(whale)'들이 비트코인 전체 시가총액의 3분의 1을 보유한 것으로 나타났다고 파이낸셜타임스(FT)가 9일 보도했다. FT가 입수한 블록체인 연구업체 체이널리시스 보고서에 따르면 1600명의 투자자가 500만개의 비트코인을 보유한 것으로 나타났다. 이들이 보유한 비트코인을 금액으로 환산하면 비트코인 전체 시총의 3분의 1인 375억달러(약 40조원)에 달한다. 보고서는 지난 4월 기준 1600개의 비트코인 전자지갑이 최소 1000개 이상씩 비트코인을 보유하고 있다고 설명했다.FT는 ""비트코인은 탈중앙화를 내세운 화폐지만 실제는 소수가 독점하고 있다""며 ""이는 몇몇 투자자가 전체 가격을 좌지우지할 수 있는 리스크 요인""이고 해석했다. 이 중 100개의 지갑은 1만~10만개의 비트코인을 보유하고 있었다. 이를 금액으로 환산하면 7500만~7억5000만달러(약 800억~8000억원)에 이른다. 비트코인 시장의 '상층부'로 갈수록 부의 집중화 현상이 심해진다는 얘기다. 보고서는 또 비트코인 시장에서 '장기 투자'가 줄고 '단기 투기' 비중이 늘었다고 강조했다. 지난해 11월 기준 1년 이상 장기 보유하는 비트코인 개수는 단기 보유 물량보다 세 배 이상 많았다. 하지만 4월 기준 장기 투자금액은 비트코인 기준 600만개로 단기 투자액인 510만개와 거의 동등해졌다. 보고서는 ""지난해 12월 비트코인 가격이 개당 2만달러까지 치솟았을 때 장기 투자자들이 이익을 실현했다""고 설명했다.    [박의명 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]
		",A14면 1단,https://n.news.naver.com/mnews/article/009/0004165587?sid=104,2018
2018-06-10,2018-06-10 15:30:03,"美 CFTC, 비트코인 시세 조작 수사 본격화","
			[ 이현일 기자  ] 미 상품선물거래위원회(CFTC)가 가상화폐인 비트코인 시세 조작을 본격 조사하기 시작했다. 월스트리트저널(WSJ)은 CFTC가 최근 주요 가상화폐거래소에 거래 정보 공개 명령을 내렸다며 지난 8일 이같이 보도했다.이번 조치는 시카고상품거래소(CME)의 비트코인 선물가격 조작 관련 수사에서 비롯됐다. 당초 CME는 가상화폐거래소에 금융 사기 방지 등을 위해 거래 정보를 요구했지만, 거래소들은 특정 시간·일부 시장 참가자의 거래 정보만 제공했다. CFTC는 거래소의 정보 공개 거부가 가상화폐시장의 위험성을 조장한다고 판단한 것으로 분석된다. CFTC는 ‘스푸핑(spoofing)’이라는 가상화폐 가격 조작 행위를 눈여겨보는 것으로 알려졌다. 대량의 허위 매수·매도 주문(자전거래 등)을 내서 일반 투자자들이 가상화폐 가격이 오를 것으로 착각하게 만든 뒤 높은 가격에 가상화폐를 팔아넘기는 행위다.가상화폐거래소는 비트코인 가격 조작 행위는 없다고 해명했다. 제스 파월 크라켄 최고경영자(CEO)는 “가격 조작 행위는 거의 수익을 볼 수 없는 일에 엄청난 리스크를 떠안고 뛰어드는 일”이라고 반발했다.이현일 기자 hiuneal@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지
		",A15면 3단,https://n.news.naver.com/mnews/article/015/0003958134?sid=105,2018
2018-06-10,2018-06-10 09:46:35,비트코인 등 암호화폐 일제 하락 이유는?,"




WSJ 갈무리(서울=뉴스1) 박형기 기자 = 미국의 규제 당국이 비트코인 선물 가격 담함을 조사하기 위해 미국의 주요 암호화폐 거래사이트에 거래내역을 제출하라고 명령하자 비트코인 등 암호화폐는 9일(현지시간) 일제 하락했다.이날 미국의 월스트리트저널(WSJ)은 미국 연방상품선물위원회(CFTC)가 최근 비트코인 선물과 관련, 가격 조작 혐의를 잡고 각 거래사이트에 거래 내역 제출을 명령했다고 보도했다.CFTC는 지난해 출범한 시카고상품거래소(CME)의 비트코인 선물 가격에 대한 담함 의혹을 확보하고 이에 대한 조사를 벌이고 있다.CME의 비트코인 선물가격은 비트스탬프, 코인베이스, 잇비트, 크라켄 등 4개 사이트의 현물 거래 가격을 바탕으로 산출된다.  CME는 지난해 12월 비트코인 선물을 출시했으며, 위의 4개 거래사이트의 현물 가격을 바탕으로 선물 가격을 산출하고 있다. 그러나 이 4개 사이트는 데이터 노출을 이유로 그동안 CME에 적절한 데이터를 제공하지 않은 것으로 알려졌다. 이들은 하루 전체의 거래 내역이 아니라 일부 시간대의 거래 내역만 CME에 제공한 것으로 알려졌다. 이에 따라 CFTC가 이번 조사에 착수한 것으로 보인다.  미국의 암호화폐 거래사이트는 미국의 금융 당국이 정식으로 허가를 내준 업체들이 아니다. 그러나 CME는 정부가 허가한 정식 거래소이기 때문에 이에 대한 감독을 게을리 하는 것은 직무유기라는 판단 아래 CFTC가 조사에 나선 것으로 보인다고 WSJ은 전했다.이같은 소식이 전해지자 암호화폐는 일제 하락하고 있다. 10일 오전 9시 (한국시간 기준) 현재 비트코인은 미국의 거래사이트인 코인베이스에서 24시간 전보다 2.15% 하락한 7479달러를 기록하고 있다. 이더리움은 1.70% 하락한 592달러를, 리플은 2.77% 하락한 65센트를, 비트코인 캐시는 3.56% 하락한 1081달러를 각각 기록하고 있다.시총 ‘톱 10’ 모두가 하락하고 있으며, 시총 9위인 이오타가 5.67% 하락, 가장 큰 낙폭을 보이고 있다.sinopark@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ ‘6·13지방선거’ 뉴스보기[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
",뉴스1,https://n.news.naver.com/mnews/article/421/0003419435?sid=101,2018
2018-06-10,2018-06-10 11:55:00,[이주의 비트코인]'51% 공격'에 가격 '뚝'…잡코인 옥석가리기,"
'51% 공격' 당한 가상통화 가격, 계단식 하락 계속 거래소, 기반 취약한 통화에 대한 검증 횟수 상향조정 



[아시아경제 조호윤 기자]'51% 공격'(double spend 이중 지불)을 받은 가상통화 가격이 줄줄이 하락세다.10일 가상통화 정보제공 업체 코인마켓캡에 따르면 최근 51% 공격을 받은 모나코인(MONA), 비트코인골드(BTG), 버지(XVG), 라이트코인(LTC)은 최근 24시간 대비 각각 -0.94%, -4.41%, -7.52%, -4.56% 하락률을 기록 중이다.이들은 최근 5일(6월3~8일)간 계단식 하락 중이다. 가장 가격 하락폭이 큰 버지의 경우 지난 8일 종가는 0.039달러로, 지난 3일(0.043달러) 가격 대비 9.30% 하락했다. 비트코인골드, 모나코인은 각각 -5.81%, -5.62% 내렸다. 125.5달러에 거래되던 라이트코인도 지난 8일 120.08달러까지 내렸다.51% 공격은 이중지불(double spend) 등의 비정상 거래를 정상 거래로 둔갑시켜 블록체인 생태계를 교란시키는 분산 공공 블록체인의 치명적인 위험 중 하나다. 이번에는 전체 해시파워의 과반(51%)을 이용해 블록체인 장부 내용을 조작하려는 시도가 문제가 됐다.이번 공격에 대응하기 위해 국내 거래소들은 기반이 약한 코인들의 검증(컨펌) 횟수를 높였다. 검증 횟수가 늘어나면 각 거래에 대한 신뢰성은 높아지는 이유에서다. 국내 주요 과점 거래소 빗썸은 PoW 알고리즘 가상통화 중 비트코인, 비트코인캐시를 제외한 5개(이더리움클래식, 라이트코인, 모네로, 제트캐시, 비트코인골드) 가상통화에 대해 컨펌수를 10회에서 25회로 상향 조정했다.또 다른 과점 거래소 업비트의 경우, 유사한 위험(51%공격)이 예상되는 동일 알고리즘 코인 지캐시(ZEC), 코모도(KMD)의 컨펌 수를 상향 조정했다. 앞서 비트코인골드, 버지에 대해서는 51% 공격에 대응하기 위해 노드 점검, 컨펌수를 상향 조정한 바 있다.조호윤 기자 hodoo@asiae.co.kr▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기▶ 양낙규의 '군사이야기' ▶ 재미와 신기 '과학을읽다'&lt;ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지&gt;
		",아시아경제,https://n.news.naver.com/mnews/article/277/0004254803?sid=101,2018
2018-06-10,2018-06-10 07:00:00,[코인핫클립]신흥국에 불고 있는 블록체인 혁명,"
디지털시민권에 블록체인 적용…中 대학생, 이더리움으로 '미투 운동'



아프리카에서 서비스되고 있는 블록체인 송금서비스 비트페사. (사진제공 = 한화투자증권)(서울=뉴스1) 이수호 기자 = 1인당 국민소득 2만달러(2154만원) 미만의 신흥국 사이에서 때아닌 '블록체인' 바람이 불고 있다. 선진국보다 낙후된 사회 인프라를 끌어올리기 위해 블록체인 신기술을 접목한 것이다. 대표적으로 발트3국 중 하나인 에스토니아 정부는 지난해 8월 중앙은행이 발행하는 암호화폐 '에스트코인' 출시를 결정하고, 직접 자금모집(ICO)을 진행하겠다고 밝혔다. 인구가 130만명에 불과한 소국 에스토니아는 1991년 구소련으로부터 독립한 이후 첨단 정보통신(IT) 기술을 인프라 확대에 적극 활용해왔다. 2015년에는 세계 최초의 디지털시민권인 '이레지던시(e-Residency)'를 발급했고 이를 통해 외국인에게도 계좌 개설, 온라인 송금, 유럽 국가 내 결제 서비스 등 다양한 금융 서비스를 제공하고 있다. 지금은 블록체인 기반으로 이레지던시 서비스를 개선하고 있다. 에스토니아는 올해부터 국민 의료정보 관리에 블록체인 기술을 적용하는 프로젝트를 진행하고 있다. 이를 눈여겨 본 엔지니어와 자본이 에스토니아에 몰리면서 때아닌 창업 붐까지 일었다. 실제 지난 2015년 이레지던시 발행 이후 에스토니아 디지털시민권을 취득한 사람은 3300만명에 달하며, 창업에 성공한 기업은 5000여곳에 달한다.



아프리카 케냐의 나이로비대학 교정의 모습. © News1 최종일 기자금융 인프라가 낙후된 아프리카 케냐 역시 최근 블록체인업체들이 주목하는 국가다. 지난 2014년 케냐에서 비트코인 송금 서비스(모바일 기반)를 시작한 '비트페사'는 블록체인 기반의 금융거래 시스템을 구축했다. 비트페사는 4년만에 케냐에서 주목하는 금융업체로 발돋움했고, 지금은 우간다 등 인접 국가에서도 대중적으로 쓰이고 있다. 대부분의 아프리카 국가들이 자국 화폐 가치가 불안정하고 기존 은행을 통한 송금수수료가 7%에 달해 '비트페사'를 통해 암호화폐를 자산으로 보는 현지 투자자가 적지 않다. 중앙아메리카 최빈국 중 하나인 온두라스는 최근 미국 블록체인 스타트업 '펙텀' 기술을 활용해 국가 토지대장을 블록체인 방식으로 전환하는 프로젝트를 추진 중이다.블록체인은 정치적 자유가 억압돼 있는 신흥국에서도 유용하게 쓰인다. 지난 4월 중국 한 대학생은 학내 성폭행범 범죄를 이더리움 네트워크에 기록한 덕분에 현지 정부의 온라인 검열에도 불구하고 전세계에 알려져 주목을 받았다.  김열매 한화투자증권 수석연구원은 ""블록체인은 검열에 저항하는 미디어가 탄생했다는 점에서 신흥국에 더 큰 의미를 지닌다""며 ""금융계좌가 없는 전세계 17억명에게 블록체인은 큰 효용을 발휘할 것""이라고 전망했다.lsh5998688@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ ‘6·13지방선거’ 뉴스보기[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
",뉴스1,https://n.news.naver.com/mnews/article/421/0003419360?sid=105,2018
2018-06-10,2018-06-10 12:46:04,"월가 암호화폐 왕 “규제 확실성, 기관투자가 진입 기폭제”","
			 암호화폐 시장 규제가 좀 더 확실해지면 기관투자가 자금이 물 밀 듯 밀려들 수 있다는 주장이 나왔다.  9일(현지시간) 암호화폐 전문매체 CCN에 따르면 ‘월가 암호화폐 왕’으로 불리는 바트 스미스 서스케하나인터내셔널 디지털자산그룹 총괄이 최근 인터뷰에서 이같이 말했다.      



   바트 스미스 서스케하나인터내셔널 디지털자산그룹 총괄    스미스 총괄은 “투자자들이 규제의 유무 자체보다는 규제 확실성 여부에 주목해야 한다”며 “규제 확실성이 기관투자가 진입의 기폭제가 될 듯하다”고 강조했다. 그러면서 “기관투자가들이 제일 경계하는 요인이 불확실성”이라며 “이들을 끌어들이는데 규제 확실성만큼 매력적인 것은 없다”고 덧붙였다.  그는 또 비트코인 상장지수펀드(EFT)를 두고 “가상화폐에 투자할 수 있는 이상적 수단”이라며 낙관적으로 평가했다. 비트코인 ETF는 개인투자자가 수탁 리스크 없이 비트코인 가격 움직임에 노출될 수 있는 투자수단이다.  “ETF는 개인투자자의 규제우려는 물론, 기관투자자의 수탁·과세·자금세탁 우려 등을 모두 덜어줄 만한 투자수단”이라고 스미스 총괄은 강조했다.  ‘주가와 암호화폐 가격 간 상관관계가 있느냐’는 질문에는 “그렇지 않다”고 대답했다. 암호화폐 시장은 주식시장과 달리 기관투자가가 주도하는 곳이 아니기에 가격을 움직이는 요인이 다르다는 것이 그의 판단이다.  그는 이어 암호화폐 시장 미래를 두고 절대적 자신감을 드러냈다. “암호화폐 기술과 관련 자산군이 금융서비스의 성격 일부를 뒤바꾸며 영원히 존재감을 과시할 전망”이라고 그는 내다봤다.  한편 서스케하나는 지난 2014년 비트코인 시범 거래를 개시했다. 이후 12명의 트레이더로 구성된 암호화폐 거래 데스크를 운영해오고 있다. 이들은 비트코인 등 다양한 암호화폐들을 매일 수백만 달러 규모로 사고판다.   godblessan@fnnews.com 장안나 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
		",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0004036914?sid=004,2018
2018-06-10,2018-06-10 17:11:03,"[인터뷰] 정기욱 트러스트버스 대표 ""사기성 ICO 막으려면 규제 샌드박스 필요...","
암호화폐공개 시장 규제 필요성 강조현재 ICO의 90% 이상이 비정상자격 갖춘 스타트업만 선별 허용문제 생기면 규제하는 방식 시급



[서울경제] “사기성 암호화폐공개(ICO)를 근절하려면 발행자격을 갖춘 스타트업에만 ICO를 허용하고 발생하는 문제점을 사후에 고치는 규제샌드박스가 필요합니다.”암호화폐 기반 자산관리 서비스 스타트업인 트러스트버스의 정기욱(사진) 대표는 현재 ICO의 상당수가 변질됐고 거품이라고 단언한다. 최근 서울 한양대에서 과학기술정보통신부가 연 ‘블록체인 테크비즈’ 콘퍼런스 강연을 마친 후 만난 그는 “ICO 시장에 불법 피라미드 판매가 판치는 상황에서 적절한 규제가 시급하다”고 강조했다. 지난해 정부가 ICO 금지 방침을 밝힌 후 ICO 시장의 혼탁 양상이 심화했다는 것이 정 대표의 진단이다. 그는 “현재 ICO의 90% 이상이 비정상이라고 봐야 한다”며 “자격·능력 없는 업체들이 재빨리 암호화폐 이더리움만 챙기겠다는 심산으로 ICO에 나서는 만큼 투자자의 주의가 요구된다”고 지적했다. 그는 ICO에 대한 금융당국의 부정적 입장만 지속될 경우 음성적이고 투기적인 ICO가 계속 시장을 흐릴 것으로 봤다. 정 대표는 “금융시장의 투자적격기관처럼 ICO 발행 자격조건을 붙여 선별 인가해주고 문제가 생기면 규제하는 방식이 유일한 해법일 것”이라고 말했다. 정 대표는 시카고대 MBA를 졸업하고 경제협력개발기구(OECD) 본부 전략컨설턴트, 시스코시스템즈 상무, 국토교통부 스마트시티 전문위원을 거친 정보통신기술(ICT) 전문가다. 스타트업 시장을 경험한 그는 강연에서 “많은 스타트업이 ICO의 유혹을 떨치지 못해 ICO 추진을 속칭 ‘별나라로 간다’고 표현할 정도”라고 지적했다. ICO 홈페이지 구축, 이슈 몰이 세력 등을 구하는 데 많은 비용이 들어가 ICO를 한 번 추진하는 데 수억 원이 들 정도로 시장이 과열되고 있다는 것이다. 그는 “한몫 챙기는 것이 목적이고 ICO를 위해 스타트업을 하나 더 만드는 것에 불과한 경우를 종종 목격한다”며 “이 같은 스타트업의 지속가능성은 의심할 수밖에 없다”고 말했다. 정 대표가 제안하는 ‘진짜 ICO’ 구별법은 스타트업 구성원의 전문성과 그 스타트업이 과거 사업에 성공한 경험을 갖고 있는지다. 그는 “암호화폐가 기존의 자본주의 틀에 대항하기 위해 탄생했지만 ICO에 성공한 기업들이 더 자본주의화하는 것은 아이러니”라며 “다만 암호화폐 사용자가 늘고 변동성이 줄면서 자산가치가 높아지고 있다는 점만은 확실하다”고 강조했다. 그는 지난해 ICT 벤처 에임투지의 박형준 대표와 함께 트러스트버스를 세웠다. 고객자산인 토큰을 블록체인과 인공지능(AI) 기술로 관리해 수익을 높여주고 토큰의 증여·상속 서비스까지 제공한다. 싱가포르에 본사를 두고 내년 초 본격적인 서비스를 계획하고 있다.  그는 “암호화폐·블록체인 생태계는 결국 기술이해도와 시장을 유지하는 속도에 달려 있다”며 “좋은 것은 발현하고 나쁜 것은 규제하는 활성화 노력이 뒷받침돼야 한다”고 말했다. /글·사진=박현욱기자 hwpark@sedaily.com[서울경제 바로가기]이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지
		",35면 TOP,https://n.news.naver.com/mnews/article/011/0003318024?sid=102,2018
