title,content,score,score2,score3,score4,score5
23년만에 정부 품 떠나는 우리금융…유진PE·두나무 새주주(종합),"우리금융우리금융지주가 23년 만에 사실상 '완전 민영화'된다. 최대주주인 예금보험공사(이하 예보)가 보유한 우리금융 지분 9.3%를 민간에 매각키로 하면서다. 유진 PE(프라이빗에쿼티)와 KTB자산운용, 얼라인파트너스컨소시엄, 두나무 등 4개사가 우리금융 새주주가 되며, 이중 지분 4%를 인수하는 유진 PE는 사외이사 추천권을 통해 우리금융 경영에도 참여한다.━유진PE, KTB자산운용, 두나무 등 새주주…낙찰가 1만3000원 초중반, 원금회수주가 '훌쩍'━금융위원회 산하 공적자금관리위원회(공자위)는 22일 회의를 열고 예보가 보유한 우리금융 지분 9.3%를 5곳에 매각하는 안을 의결했다.우선 유진PE가 우리금융 지분 4%를 낙찰받아 사외이사 추천권을 얻게 됐다. 또 KTB자산운용이 2.3%, 얼라인파트너스컨소시엄이 1%, 두나무가 1%, 우리금융 우리사주조합이 1%의 지분을 각각 낙찰 받았다.다음달 9일까지 매각 절차가 완료되면 우리금융은 1998년 구(舊) 한일·상업은행에 공적자금이 투입된 지 23년만에 사실상 완전 민영화에 성공한다. 최대주주 지위를 상실하는 예보 대신 우리사주조합이 최대주주 지위를 획득하고, 국민연금이 2대주주가 된다. 지분이 15.1%에서 5.8%로 줄어드는 예보는 빠른 시일 내 남은 지분도 민간에 매각할 방침이다.공자위는 모든 낙찰자들의 입찰가가 1만3000원을 초과했다고 공개했다. 이른바 원금회수주가인 1만2056원을 훌쩍 넘긴 1만3000원 초중반대에 낙찰가가 형성된 것으로 전해졌다. 이번 매각을 통해 약 8977억원이 회수될 것으로 예상되며, 매각 완료 시 우리금융에 투입된 12조8000억원의 공적자금 중 12조3000억원(회수율 96.6%)이 회수된다. 예보가 나머지 지분 5.8%를 주당 1만193원 이상으로만 팔면 우리금융에 투입된 공적자금 전액을 회수할 수 있게 되는 셈이다.무엇보다 정부 품을 떠나게 되는 우리금융이 '정부 소유 금융지주회사'라는 디스카운트(가격 할인) 요인이 사라지면서 예보가 보유한 잔여지분 매각에 대한 추가이익 가능성도 높아졌다는 평가다.━예보 비상임이사 선임권 상실…명실 상부 '과점주주 중심 지배구조' 구축━아울러 우리금융은 과점주주 중심의 지배구조를 공고히 한다. 대주주이지만 사외이사 추천 권한은 없는 우리사주조합과 국민연금을 대신해 IMM PE(5.57%), 한국투자증권(3.77%), 키움증권(3.73%), 한화생명(3.16%), 푸본생명(3.97%) 등 기존 과점주주에 더해 이번에 4% 지분을 새로 취득하는 유진 PE까지 6곳의 과점주주가 각각 한명씩의 사외이사를 추천하게 된다. 예보는 현 김홍태 비상임이사 임기 만료 예정인 내년 3월 이후 우리금융 비상임이사 선임권을 상실한다.업계에선 유진PE와 KTB자산운용 등이 우리금융의 사업적 안정성과 배당 등에 매력을 느껴 투자에 참여한 것으로 분석한다. 앞서 KTB투자증권에 매각한 유진저축은행 경영 경험이 있는 유진그룹은 계열 PEF 운용사인 유진PF를 통해 우리은행과의 연계사업도 염두에 두고 투자에 나섰다는 해석이 지배적이다. KTB자산운용은 예전부터 우리금융을 눈여겨봐 온 회사다. 2016년 예보가 보유한 우리금융 지분을 매각할 때도 입찰에 참여했지만 당시 경쟁에선 밀렸다.가상자산(암호화폐) 거래소 업비트를 운영하는 두나무는 이번 인수전에서 가장 높은 입찰가를 써낸 것으로 알려졌다. 지분 인수에 강한 의지를 드러내 왔다. 우리금융 지분 일부를 확보하면서 향후 업비트 사업에도 도움이 될 것이란 전망이다. 벌써부터 케이뱅크가 아닌 우리은행이 업비트 실명계좌를 발급해 줄 가능성도 제기된다.한편 공자위는 낙찰자의 낙찰포기 가능성에 대비한 예비 낙찰자도 선정했다. 다만 차순위 낙찰예정자 명단은 공개하지 않았다. 지난 18일 마감된 본입찰에는 낙찰자들 외에 하림그룹, 한국투자금융지주, 호반건설, ST인터내셔널(옛 삼탄) 등이 참여한 상태다.공자위 관계자는 ""입찰자 평가 순위에 따라 차순위 낙찰 예정자가 결정됐다""며 ""낙찰 포기 물량 발생시 차순위 낙찰 예정자 순서대로 매각 물량을 재배정 할 수 있다""고 밝혔다.",0,0,0.8,0.8,1
"파라과이 ‘골든구스 프로젝트’ 홈페이지 오픈, 프리세일 진행","(사진=골든구스)[이데일리 장구슬 기자] 골든구스 프로젝트(Golden Goose)를 진행 중인 커먼즈 재단이 오는 10일 골든구스 홈페이지를 통해 골드토큰 프리세일(Pre-Sale)을 시작한다고 밝혔다.골든구스 프로젝트는 파라과이의 지원과 협력을 통해 파라과이에 세계 최대 규모의 암호화폐 채굴센터와 글로벌 암호화폐 거래소 설립을 위한 프로젝트로 지난해 11월 파라과이 조인트벤처와 관련 계약을 체결했다. 이 계약은 세계 최대의 청정에너지를 생산하는 이타이푸 수력발전소 부근에 500MW급 변전소를 포함한 채굴센터 부지 총 25만㎡ 규모의 부지, 저렴하고 안정적인 전력요금, 인터넷 전용망, 인프라 확보 등이 포함돼 있다. 지난 2월28일엔 골든구스 프로젝트의 홈페이지가 한국어, 영어, 스페인어 3개 언어로 오픈했으며 3월 내 일본어와 중국어도 지원할 예정이다. 골든구스 토큰 프리세일은 홈페이지를 통해 참여가 가능하다.이번 프리세일을 포함한 모든 프로젝트의 참여는 비트코인(BTC), 이더리움(ETH), 마이크로비트코인(MBC)으로 기부하고 골든구스 토큰(GOLD)을 기부자가 참여율에 따라 받는 방식으로 진행된다.골든구스 팀은 비트퓨리의 BBAC 장비 4대 주문을 시작으로 임시채굴센터 건립 및 가동을 본격적으로 시작할 예정이며, 프리세일 참여자들은 빠르면 2019년 2~3분기부터 기부보상을 받을 수 있을 것이라고 밝혔다. 프로젝트를 이끌고 있는 커먼즈 재단의 최용관 이사장은 “골든구스 프로젝트는 남미에 초대형 블록체인 생태계를 조성하는 첫 사례로 파라과이, 비트퓨리, 골든구스 팀, 나아가 이해관계자 모두의 성장과 성공으로 이어질 것이며 최고의 파트너들과 함께 전 세계 블록체인 생태계 환경을 새롭게 조성할 것”이라고 전했다.장구슬 (guseul@edaily.co.kr)네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]꿀잼가득 [영상보기▶] , 빡침해소!청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞",0,0,0.8,0.8,0.8
"금융산업공익재단, 서울 초등학생 경제금융교육 확대","대상 학교 올해 150개교로 늘려지난해 교육 98%가 '만족'[이데일리 서대웅 기자] 금융산업공익재단은 서울시교육청과 함께 올해 서울 지역 초등학교를 대상으로 경제금융교육을 확대 실시한다고 25일 밝혔다.대상 학교를 지난해 100개교에서 올해 150개교로 늘려 서울 지역 초등학교(605개교)의 약 25%를 지원할 계획이다.재단이 제공하는 초등학생 경제금융교육은 서울시교육청의 금융교육 활성화 조례 제정에 발맞춰 실행하는 프로그램이다.올해 교육과정은 조례에 따라 금융사고 및 금융사기 예방을 위한 내용을 추가했다. 또 실생활 활용 가능성을 높이고자 지난해 교안 2종을 초등학생 저학년용과 고학년용 4종으로 재편하고 학생 눈높이에 맞춘 사례를 보강했다.지난해 서울시 한 초등학교 학생이 ‘우리 동네 금융회사 알기’ 퍼즐 맞추기에 몰두하는 있다.(사진=금융산업공익재단)금융회사 퍼즐 맞추기, 세계 화폐·환율 큐브 만들기, 스티커 암호풀이 등의 놀이형 체험프로그램과 금융교육 뮤지컬 ‘네 꿈은 뭐니!’로 구성한 ‘슬기로운 경제금융생활’ 프로그램은 지난해 금융감독원이 주최한 ‘금융공모전’에서 금융교육프로그램 부문 최우수상인 교육부장관상을 수상했다.청소년금융교육협의회가 교사 402명을 대상으로 지난해 교육 만족도를 조사한 결과 98.7%가 ’교육내용이 경제금융생활에 도움이 될 것‘, 97.5%는 ’다음에도 이와 같은 수업을 받길 원한다‘고 답변했다.학생 2111명에 대한 금융교육 뮤지컬 만족도 조사에서는 98.0%가 ‘뮤지컬을 즐겁게 관람했다’, 97.4%가 ‘뮤지컬이 경제금융생활에 도움이 될 것’, 98.0%는 ‘합리적인 소비방법과 저축에 대해 알게 됐다’고 답변했다. 뮤지컬 속 금융지식을 묻는 질문들에 각각 80%를 넘는 정답률을 나타냈다.재단은 지난해 교육에 대한 교사 및 학생들의 관심과 만족도가 예상보다 높아 올해 교육을 대폭 확대하기로 결정했다.재단은 “서울시교육청과 지속 협력해 우리나라 학생들이 세계시민의식을 갖춘 합리적인 경제주체로 성장할 수 있도록 디딤돌 역할을 수행하겠다”고 밝혔다.우리나라 성인 금융이해력 점수는 2020년 조사 결과 66.8점으로 2018년(62.2점) 대비 4.6점 상승하면서 처음으로 OECD 평균(2015년 64.9점, 2019년 62.0점)을 웃돌았다.올해 교육 신청은 다음달 4일까지 서울시교육청 산하 교육지원청에서 받는다. 3월 중순까지 150개 운영 학교를 선정할 계획이다.재단은 2018년 10월 설립한 우리나라 최초의 산업단위 노사공동 공익재단으로 금융노조 10만 조합원과 33개 금융기관이 공동 조성한 기금으로 사회공헌사업을 수행하고 있다. 이번 사업에는 8억원을 지원한다.",0,0,0,0,0.8
“블록체인으로 숙박공유 등 공유경제 신뢰성 확보”,"UCL 블록체인 테크놀로지센터 상임위원 특별강연 블록체인 기술을 활용해 차량·숙박공유 등 공유경제 서비스 참여자 간 신뢰성을 높일 수 있다는 제언이 나왔다.  얍컴퍼니는 지난 22일 서울 종로구 본사에서 ‘새로운 경제 패러다임 안에서 블록체인의 역할’이라는 주제로 특별강연을 진행했다고 23일 밝혔다.         파올로 타스카(Paolo Tasca) UCL 블록체인 테크놀로지센터 상임위원이 22일 서울 종로구 얍컴퍼니 라운지에서 열린 '블록체인 이코노미' 특강에서 강연을 진행하고 있다. /사진=얍컴퍼니    이날 기조연설을 맡은 영국 유니버시티 칼리지 런던(UCL) 블록체인 테크놀로지센터의 파올로 타스카 상임위원은 블록체인이 기술로써 가지고 있는 이중성에 대해 강조했다. 또한 정보통신기술(ICT) 차원의 블록체인과 기관 기술로서의 블록체인을 구분해 설명했다.  특히 새로운 경제 패러다임인 공유경제와 관련, 블록체인 기술이 신뢰성을 확보할 수 있다는 점을 강조했다. 파올로 타스카 상임위원은 “공유경제에서 가장 중요한 것은 사람들 간의 신뢰관계”라며 “이를 가장 잘 실현시킬 수 있는 것이 블록체인”이라고 말했다.  또한 그는 한국의 블록체인 및 암호화폐 규제 환경에 대해서 민관협력의 중요성을 시사했다. 타스카 상임위원은 “중국이 규제로 나가고 있는 지금 블록체인과 관련해 한국은 기회의 땅”이라며 “중국과 연계해서 동남아시아와 글로벌로 성장할 수 있는 기회이기도 하다”고 말했다.  이번 행사를 주도한 얍컴퍼니 박성재 전략부문 대표는 “플랫폼이 사라지는 블록체인 시대에 기술을 선도하기 위해 관련 회사들과 오랜 시간 협력하고 있다”며 “심도 있는 자문을 구하기 위해 세계적인 석학을 초청했다”고 행사 의의를 전했다.  파올로 타스카 박사는 스위스 취리히연방공과대(ETH)에서 경제학 박사 학위를 취득하고, 유럽연합(EU), UN 블록체인 자문위원, 영국 UCL 블록체인 테크놀로지센터 설립자 겸 상임위원으로 활동하고 있다. elikim@fnnews.com 김미희 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",0,0,0.8,0.8,0.8
"나인에스비, 블록체인 메신저 서비스 '시동'","블록체인 활용한 서비스 개발 본격화㈜나인에스비 강철순 총괄대표 (사진=나인에스비 제공) *재판매 및 DB 금지[대구=뉴시스] 박홍식 기자 = 기업용 사내 메신저 솔루션 전문기업 ㈜나인에스비(총괄대표 강철순)와 블록체인 핀테크 전문기업 ㈜지비즈핀테크(총괄대표 강철순)가 블록체인 메신저 서비스에 나섰다.18일 지비즈핀테크에 따르면 지난 2018년 블록체인 프로젝트 '코인업캐시(CUC)'의 국내 영업 및 운영권을 획득하고 본격적으로 블록체인을 활용한 서비스 개발을 시작했다.'CUC 프로젝트'는 블록체인 기술을 도입하고자하는 기업에게 어떤 종류의 인터넷 서비스라도 블록체인 위에서 각종 거래와 서비스를 이용할 수 있도록 해주는플랫폼 서비스다.이를 통해 지비즈핀테크는 지난해 'CUC 플랫폼'을 적용한 블록체인 메신저 '쿡톡(CUC TALK)'의 개발을 완료했다.지비즈핀테크의 '쿡톡'은 메신저 솔루션으로 국내에서 독보적인 위치를 확보하고 있는 나인에스비의 '이지마루' 메신저 솔루션을 기반으로 개발됐다.'이지마루'는 청와대, 대한항공, 대명그룹, 서울교통공사, 해군사관학교, 한국지역난방공사 등 공기업과 정부기관, 대기업 등에서 도입해 이미 성능을 입증 받은 바 있다.지비즈핀테크는 블록 체결 속도를 1000배 이상 끌어올린 CUC 프로젝트와 나인에스비의 '이지마루' 메신저 솔루션을 결합한 '쿡톡'을 통해 블록체인관련 사업에 진출할 계획이다.강철순 총괄대표는 ""가상 자산인 암호화폐를 손쉽게 사용할 수 있는 서비스를 개발하는데 집중해왔다. 다양한 영역에 적용이 가능하고 커뮤니케이션 수단인 메신저를 통해 이용자가 손쉽게 가상자산을 이용할 수 있도록 지원할 것""이라고 밝혔다.지비즈핀테크는 2018년 가상자산 자동거래 서비스인 '지비즈코인업'을 시작해 빗썸, 업비트, 코인원, 비트플라이어, 텐앤텐 등 국내외 유수 가상자산 거래소의 자동 매매를 지원하고 있다.☞공감언론 뉴시스 phs6431@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기&lt;ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지&gt;",0,0,0,0,0.8
美 검찰 ‘北서 암호화폐 강연’ 전문가 기소… 최장 20년형 가능,"“北의 돈세탁ㆍ제재 회피 위한 고급 정보 전달… 대북 제재 위반”게티이미지뱅크 코리아미국 검찰이 북한에서 암호화폐 관련 강연을 한 미국인 전문가를 대북 제재 위반 혐의로 기소했다. 북한이 암호화폐와 블룩체인 기술을 활용해 제재망을 빠져 나갈 수 있도록 도와 줬다는 이유인데, 해당 전문가는 유죄 판결 시 최대 징역 20년형을 선고받을 수도 있다.지난달 30일 미국의소리(VOA) 방송에 따르면, 미 뉴욕 남부지검은 싱가포르에 거주하는 미국인 버질 그리피스(36)를 국제비상경제권법(IEEPA) 위반 혐의로 체포한 뒤 기소했다고 전날 밝혔다. 지난 4월 미 국무부의 승인 없이 중국을 거쳐 북한을 방문, ‘평양 블록체인 암호화폐 회의’에 참석한 그리피스는 이 자리에서 △암호화폐를 이용한 제재 회피 △돈 세탁 방법 등에 대해 강연한 것으로 전해졌다.검찰은 그리피스가 캘리포니아공대 박사학위를 보유한 전문가라면서 “남북한 간 암호화폐 거래를 촉진할 계획을 세웠고, 다른 미국인들에게 내년 같은 행사 참여를 권장했다”고 밝혔다. 특히 ‘블록체인과 평화’라는 제목의 주제 발표에선 블록체인 기술이 북한을 어떻게 도울 수 있는지도 소개했다는 게 검찰의 설명이다. 제프리 버먼 뉴욕 남부지검장은 “그리피스는 북한에 고급 기술 정보를 제공했고, 북한이 이를 통해 돈 세탁을 하고 제재를 피할 수 있다는 걸 알고 있었다”고 지적했다. 이어 “그리피스의 행위는 북한에 대한 미국의 최대 압박 정책을 위태롭게 한 것”이라고 덧붙였다.지난해부터 미국은 대북 제재 조치의 일환으로, 북한에 대한 미국 시민의 기술 이전 행위를 금지해 오고 있다. 그리피스는 이달 30일 로스앤젤레스 연방법원에 출석할 예정이며, 검찰은 그가 재판을 통해 최대 징역 20년형에 처해질 수 있다고 설명했다. 그리피스는 2007년 온라인 백과사전인 위키피디아에서 항목 내용을 고친 익명 사용자들의 신원을 밝혀 내는 프로그램 ‘위키스캐너’를 개발, 미 언론의 조명을 받기도 했다.김정우 기자 wookim@hankookilbo.com ▶[이벤트]한국일보 채널 구독 or 추천하면 에어팟이 내꺼! ▶뉴;잼을 보면 뉴스가 재밌다. [뉴스레터 구독하기]",0,0,-1,-1,-1
"코빗 ""PC 풀스크린으로 코인 거래 내용 한눈에 본다""","
1920px 풀HD 스크린 지원로딩 속도 1.5배 빨라져메모리 점유율 낮춰 속도 개선  [파이낸셜뉴스] 가상자산 거래소 코빗이 국내 가상자산 거래소 중에는 처음으로 PC용 거래창을 풀스크린으로 업데이트했다. 실시간 시세창 목록부터 매수·매도 주문창, 미체결과 주문·거래 내역까지 한 화면에 표시해 가상자산 거래에 익숙하지 않은 일반인들도 실수없이 거래를 진행할 수 있도록 편의성을 높인 것이다.   코빗은 바이낸스 등 해외 유수 거래소의 사례를 참고해 약 4개월간 거래 편의성과 성능을 개선할 수 있도록 PC용 거래창을 업데이트, 국내 가상자산 거래소 중에는 처음으로 풀스크린과 전문가용 홈트레이딩시스템(HTS)을 도입한 차세대 웹 거래소를 오픈했다고 6일 밝혔다.    



코빗은 이용자들이 데스크톱 환경에 맞춰 한 화면에서 다양한 기능을 이용할 수 있도록 PC용 거래창에 초고화질(풀HD)을 지원하는 업데이트를 진행했다. /사진=코빗 코빗은 ""지난 달 데스크톱으로 접속한 이용자 중 약 66%가 초고화질(풀HD)급 해상도 이상의 모니터로 접속했다""며 ""이같은 이용자들의 환경을 고려해 기존 1400픽셀(px)이던 웹 해상도를 1920px로 상향 최적화했다""고 설명했다. 해외 거래소에서는 익숙한 풀스크린을 국내에 도입한 사례는 코빗이 처음이다.   풀스크린에는 실시간 시세창 목록부터 매수·매도 주문창, 미체결과 주문·거래 내역까지 한 화면에 표시해 숙련된 투자자들의 투자 환경을 만드는 데 집중했다. 한 화면에 매수, 매도창이 구분돼 있어 주문 실수를 방지했으며 미체결 내역에는 ‘모두 취소’ 기능을 추가해 거래 정확성을 높였다. 또 이용자들은 해당 기능들의 위치와 레이아웃을 직접 조정할 수 있어 각자에게 최적화된 거래 환경을 만들 수 있다.   성능 개선도 했다. 초기 로딩 속도는 1.5초에서 1초로 1.5배 빨라졌으며 전체 페이지 로딩 속도는 기존 6초에서 3초로 2배 빨라졌다. 사용자별 PC 메모리에서 상당 부분 차지하던 시스템 점유율을 대폭 낮추면서 속도 느림 현상을 개선하고 쾌적한 거래 환경을 제공하는 데 집중했다.   오세진 코빗 대표는 “차세대 웹 거래소 업데이트를 통해 전문가급 수준의 홈트레이딩시스템(HTS)을 구축하게 됐다”며 “향후 다양한 서비스를 개선해 신규 사용자를 꾸준히 유치할 수 있도록 노력하겠다”고 말했다.   한편 코빗은 앞서 멀티태스킹 기능을 지원하는 iOS 기반 아이패드용 애플리케이션(앱)을 출시했다. 멀티 디바이스 환경에 맞춰 이용자에게 최적의 거래 환경을 제공하기 위한 것이다. 올 상반기 내 안드로이드 기반 태블릿까지 지원을 확대할 예정이다. #코빗 #가상자산  
",0,0,0.8,0.8,0.8
은행 이어 민간기업까지 디도스 공격 예고 “협상은 없다”,"[디지털데일리 최민지기자] 주요 시중은행을 대상으로 디도스(DDoS, 분산서비스거부) 공격을 예고하며 비트코인을 요구한 해킹그룹 아르마다 콜렉티브(Armada Collective)가 민간기업까지 손을 뻗치고 있다. 클라우드 전문 기업인 스마일서브(대표 김병철)는 자사 서비스를 이용하고 있는 가상사설망(VPN) 제공 기업이 아르마다 콜렉티브로부터 디도스 공격 협박 이메일을 받았다고 27일 밝혔다. 이에 스마일서브는 해당 고객을 대상으로 긴급 디도스 방어 제공에 나서기로 했다.  스마일서브에 따르면 이 고객은 지난 26일 협박 이메일을 받았으며 3200만원에 달하는 10비트코인을 지급하지 않으면 27일 디도스 공격을 시작하겠다고 했다. 이들은 디도스 공격이 초당 1Tbps에 이르기 때문에 막기 어렵다고 엄포를 놓고 있다. 협상에 응하지 않으면 공격 몸값을 20비트 코인으로 올리고 공격을 지속하겠다고 협박했다.은행 및 금융기관을 대상으로 협박한 내용과 동일한 수법이다. 이 해킹그룹은 ▲KB국민 ▲우리 ▲신한 ▲KEB하나 ▲NH농협은행 등과 한국거래소 및 일부 증권사를 시작으로 수협, 전북은행, 대구은행 등 지방은행들까지 대상을 확대하며 디도스 공격을 무기삼아 협박을 일삼았다. 이제는 민간기업까지 협박 메일을 뿌리고 있는 양상이다. 스마일서브는 자사 고객을 협박한 해커에 강경 대처할 방침이다. 협상의 선례를 남기지 않고 적극적으로 공격을 방어해 고객에게 피해가 가지 않도록 한다는 계획이다. 스마일서브는 위협을 받은 모든 고객을 대상으로 비용을 받지 않고 디도스 방어 서비스를 제공하기로 했다. 또한, 스마일서브는 긴급 대응팀을 통해 위협을 받은 고객에게 부당한 요구에 응하지 말라는 안내와 함께 핫라인 개설해 24시간 고객의 문의에 대응한다. 더불어 안티 디도스(ANTI DDOS) 운영팀에 추가 인력을 배치키로 했다.김기중 스마일서브 본부장은 “2015년 아카마이 고객을 대상으로 아르마다 콜렉티브의 디도스 공격이 있었는데, 당시 아카마이의 발표에 따르면 이들의 공격은 최대치가 772Mbps 정도였다”며 “1Tbps는 공포를 조성하기 위해 과장한 것으로 보인다”고 말했다. 이어 “26일 긴급 대응팀을 구성해 디도스 공격 방어책을 마련했다”며 “이들의 기존 공격 방식을 분석한 결과 150Gbps급 공격까지 막을 수 있는 스마일서브의 안티 디도스 서비스로 완화가 가능하다는 결론을 내렸고, 위협을 받은 모든 고객에게 무료로 제공하겠다”고 덧붙였다.&lt;최민지 기자&gt;cmj@ddaily.co.krIT언론의 새로운 대안[디지털데일리]IT정보의 즐거운 업그레이드[딜라이트닷넷]최민지(cmj@ddaily.co.kr)&lt;저작권자 © 디지털데일리 무단전재-재배포금지&gt;",0,0,-0.8,-1,-1
"님 테크놀로지, 'a16z 주도' 시리즈A서 150억원 유치","사진=님 테크놀로지개인정보 보호 기술 개발 스타트업 님 테크놀로지(NYM Technology)가 150억 원 규모의 시리즈 A 투자 유치를 성공적으로 마무리했다고 20일 밝혔다. 이번 투자 라운드는 유명 실리콘벨리 벤처캐피탈 안데르센 호로위츠(a16Z)의 주도 하에 디지털 커런시 그룹(Digital Currency Group), 테이사 캐피탈(Tayssir Capital), 후오비 벤처스(Huobi Ventures), 해시키(Hashkey), 펜부시 캐피탈(Fenbushi Capital) 등이 참여했다. 님 테크놀로지는 인터넷 데이터를 암호화하는 자체 네트워크 믹스넷(Mixnet)을 개발 중이며 이번 투자 라운드를 통해 2억7000만 달러(약 3200억 원)의 기업 가치를 인정받았다. 해리 할핀(Harry Halpin) 님 테크놀로지 최고경영책임자(CEO)는 ""이번 투자를 통해 우수한 벤처캐피탈의 도움을 받게 되어 기쁘게 생각한다""면서 ""개인정보 보호는 모든 블록체인에 필수적이기에 우리는 데이터 보안의 새로운 표준을 만들어 나갈 것""이라고 말했다. &lt;블록체인·가상자산(코인) 투자 정보 플랫폼(앱) '블루밍비트'에서 더 많은 소식을 받아보실 수 있습니다&gt;",1,0,0.8,0,0.8
비트코인 한때 7000만원대까지 하락…김치 프리미엄 20% 넘어,"/ 로이터오늘 오후 2시 40분쯤 1BTC 당 7920만원(업비트 기준)까지 올랐던 비트코인 가격이 오후 4시 8분쯤 1BTC 당 7040만원까지 떨어졌다.알트코인(비트코인을 제외한 코인) 등락률을 더욱 심하다.오후 한때 1BTG 당 20만원까지 치솟았던 비트코인골드(BTG)는 전날보다 44%가량 오른 14만4900원 대에서 등락을 반복하고 있다. 1주일동안 70%가량 급상승한 비트토렌트(BTT)는 전날보다 23% 떨어진 1BTT당 10.20원 가량에 거래되고 있다.24시간 거래되는 가상화폐 거래소의 특성 상 매초, 매분마다 오르내리는 등락폭이 크다.알트코인은 변동성이 높은 탓에 이른바 '대박'을 꿈꾸는 20~30대들에게 주목을 받고 있지만 그만큼 '쪽박' 가능성도 높다는 점도 주의해야 한다.최근 코스피 거래액을 훌쩍 뛰어넘은 가상화폐 거래액을 기반으로 가상화폐 거래소가 앞다퉈 신규 알트 코인을 상장 시키는 탓에피해를 보는 투자자도 늘고 있다.지난 5일 5650원에 상장한 던프로토콜(DAWN)은 상장 직후 2만4770원까지 올랐다가 어제보다 35% 가량 떨어진 3625원에 거래 중이다.인터넷 커뮤니티에는 기습 상장하는 코인에 투자했다 피해를 봤다고 호소하는 글들이 속출하고 있다.전문가들은 시가 총액이 적은 알트코인 투자는 특별히 더 주의해야 한다고 경고하고 있다.김치프리미엄 (해외보다 국내 암호화폐 가격이 더 비싼 것을 뜻함)도 주의해야 한다.현재 국내 비트코인 가격은 해외보다 약 20% 비싼 가격에 거래되는만큼 시장 과열을 우려하는 목소리도 커지고 있다. / 이태형 기자이태형 기자(nihao@chosun.com)☞ 네이버 메인에서 TV조선 구독하기☞ 더 많은 TV조선 뉴스 보기* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)- Copyrights ⓒ TV조선. 무단전재 및 재배포 금지 -",0,0.5,-0.8,-0.8,-0.8
