date,press,link,title,content,time
2017.01.01,전자신문,https://n.news.naver.com/mnews/article/030/0002568695?sid=105,[2017 국제 핫이슈]블록체인 기술 확산,"
			블록체인은 `제2의 인터넷` `넥스트 인터넷`으로 불린다. 새해에는 해킹이 어렵고 거래 비용이 낮은 블록체인 기술이 금융권을 중심으로 빠르게 확산될 전망이다. 블록체인이란 정보분산을 통한 금융보안 기술을 말한다. P2P 네트워크를 통해 이 네트워크에 참여하는 이들이 정보를 암호화해 독립적으로 저장·공유하도록 설계된 일종의 분산형 장부다. 해커가 이 거래 장부를 위·변조하려면 최고 성능 슈퍼컴퓨터 500대 이상을 동원해 전 세계의 모든 노드(네트워크 참여자)를 동시에 공격해야 해 사실상 불가능하다.



이런 블록체인 기술은 금융 거래뿐만 아니라 식품 검사, 신분 확인, 증명서 검증 등 일상 생활 곳곳에 스며들 전망이다. 사물인터넷(IoT) 시장에서도 블록체인이 주목을 받고 있다. IBM은 블록체인 아키텍처와 다른 P2P 프로토콜 등을 결합한 IoT 플랫폼 `어뎁트(Adept)`를 공개했다. 마이크로소프트(MS)는 가상화폐 거래뿐 아니라 네트워크상에서 이용되는 수많은 애플리케이션으로 블록체인 개념을 확장할 수 있는 기술인 `이더리움(Ethereum)`을 개발하고 있다.▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지]
",2017-01-01 12:03:13
2017.01.01,39면 1단,https://n.news.naver.com/mnews/article/030/0002568796?sid=105,"[신년기획]블록체인, 금융권 넘어 IT기업도 관심","
			“블록체인은 인터넷 이후 나온 가장 혁신적이며 파괴적인 기술이다.”블록체인을 바라보는 전문가들 의견이다. 이중 혁신성에는 공감이 높지만 파괴성에는 아직 의문을 가지는 이들이 많다.



ⓒ게티이미지디지털화된 분산원장 기술인 블록체인은 금융권을 중심으로 활용 분야를 넓히고 있다. 지난해 8월 열린 세계경제포럼(WEF)에서 올해까지 세계 은행 80%가 블록체인 기술을 도입할 것이라고 전망했다. 2025년에는 글로벌 GDP 10%가 블록체인 플랫폼에서 발생하고 금융회사는 거래비용 30%가량을 절감할 수 있다고 예측했다.하지만 반론도 만만치 않다. 블록체인 실제 응용과 도입은 아직 초기단계로 활용 서비스가 제대로 나온 게 없다. 블록체인 영향력을 수치화하기에 아직 시기상조란 주장이 설득력을 얻는 이유다.◇금융권을 넘어 공공기관, IT기업으로 관심 확산블록체인은 2008년 사토시 나카모토라는 가명 개발자에 의해 만들어진 가상화폐 비트코인의 성공에서 비롯됐다. 특징은 중개기관이나 제3기관 없이 시장의 모든 거래 참여자가 개인간(P2P) 거래로 직접 연결한다. 정부가 주도하는 중앙관리기관보다 참가자들로 구성된 P2P 네트워크가 기능을 대신하는 형태다.거래 내용을 기록한 원장(ledger)은 모든 시장 참여자에 의해 분산 보관되며 원장 업데이트와 기록 검증·승인은 사전에 프로그래밍된 규칙에 따라 합의로 이뤄진다. 이 모든 과정은 고도의 암호화 기법에 의해 보안이 유지된다.해외서는 금융권을 중심으로 도입되고 있다.미국 나스닥은 블록체인 기술을 전문투자자용 장외시장인 나스닥 사적시장(Nasdaq Private Market) 거래에 활용해 주문-결산-승인-펀드 이체와 디지털 서명-체결-정산 과정을 3일에서 10분으로 단축시키는 데 성공했다.뱅크오브아메리카, HSBC, 싱가포르 정보통신개발청은 다양한 블록체인 기술 테스트를 진행 중이며 리플은 블록체인 기반 해외결제 시스템을 개발해 상용화 단계에 있다.



기존 거래방식과 분산원장 기술 방식 자료:한국은행이 같은 블록체인 글로벌 프로젝트는 여러 금융회사와 IT기업 간 협업으로 이뤄지고 있다.대표적인 글로벌 협의체는 R3CEV와 하이퍼레저 등이 있다.미국 IT기업 R3가 설립한 R3CEV는 골드만삭스, 시티그룹, 모건스탠리, UBS 등 60여개 대형 금융기관이 참여하고 있다. 지난 3월에는 금융기관에 특화된 블록체인 서비스 코다(Corda)를 개발·발표했다.하지만 최근 주축 회원인 골드만삭스, 산탄데르가 탈퇴하고 JP모건이 탈퇴할 것이라고 알려지는 등 위상이 예전 같지 않다는 소리도 나온다.리눅스재단이 주도하는 하이퍼레저는 비금융기관까지 참여해 공동으로 사용하는 범산업용 블록체인 플랫폼 구성을 목표로 한다. 인텔, IBM 등 IT기업과 금융사, 컨설팅사 등 다양한 100여개 기업이 참여하고 있다.이 밖에 아시아권에서는 일본의 SBI핀테크 컨소시엄과 중국의 차이나레저 등이 활동하고 있다.◇국내 은행·금융투자사도 컨소시엄 구성최근 한국은행은 분산원장 기술이 도입되면 증권부문(거래소·예탁결제원)에서 백오피스 비용(IT비용, 인건비 등) 절감효과가 2015년 기준 연간 1071억원에 이를 것이라는 보고서를 냈다. 증권사들 금융비용(예치금 등에 따른 기회비용)도 연 100억원을 절감할 것으로 전망했다.국내서는 금융위원회 주도로 금융권 공동 블록체인 컨소시엄 구성이 가시화됐다. 민간기업도 금융권이나 대학 등과 공동사업을 추진 중이다.은행권 컨소시엄은 바이오 인증 등 개인인증 관련 정보를 블록체인에 저장해 전자금융거래 시 활용하거나, 전자문서를 등록해 위·변조 여부를 검증하는 기술 등 한두 가지를 올해 추진한다.21개 증권·선물사가 참여한 금융투자업계 컨소시엄은 간편·생체인증을 적용한 공동 인증플랫폼 도입을 시작으로 채권과 장외 파생상품 등 상품거래까지 적용 범위를 넓혀갈 계획이다.민간기업인 더루프는 비트코인 기반 디지털 화폐 시스템을 서강대와 고려대에 구축할 예정이다. 



주요 글로벌 분산원장 기술 컨소시엄 자료:한국은행



부문별 주요 분산원장 기술 활용 사례



분산원장 기술 유형별 비교이성민 코스피 전문기자 smlee@etnews.com▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지]
",2017-01-01 16:03:04
2017.01.01,울산매일신문,http://www.iusm.co.kr,[2017 신년특집] 세계 금융의 대변화-화폐없는 시대가 온다 디지털 가상화폐 ...,,None
2017.01.02,4면 TOP,https://n.news.naver.com/mnews/article/029/0002380927?sid=101,블록체인 등 최신 핀테크 기술 도입… `금융 한류` 일으키자,"
올 세계 은행 80% '블록체인' 도입 전망금융회사 거래 비용 약 30% 절감 예측도2025년까지 글로벌 GDP 10% 창출 기대국민·신한은 등 위변조 확인 상용화 단계신기술 활용시 법체계 정비 검토 필요해 리스타트 코리아핀테크 혁신은 계속된다결제나 송금, 마케팅 채널 등을 중심으로 발전한 핀테크 기술이 본격적으로 금융 '본류'에 합류하고 있다. 대출이나 신용평가, 자산관리 등 정통 금융업무까지 핀테크 기술이 확산되고 있다. 특히 올해는 블록체인과 비트코인으로 대변되는 전자화폐의 활성화가 예상된다.2일 금융 전문가들은 핀테크 산업 확대와 이를 통한 금융회사의 가치 상승을 위해 빅데이터와 블록체인, 인텔리전스(인공지능) 등 최신 핀테크 기술 도입이 필수라고 강조했다. 이를 기반으로 해외 시장 공략을 확대하면 충분히 '금융 한류'를 일으킬 수 있다는 것이다. 특히 블록체인이 올해 새롭게 주목받고 있다. 지난해 8월 열린 세계경제포럼에서는 올해 전 세계 은행의 80%가 블록체인 기술을 도입할 것이라고 전망했다. 2025년까지 글로벌 GDP의 10%가 블록체인 플랫폼에서 발생할 것이라고 설명하면서 금융회사는 거래비용의 약 30%를 절감할 수 있다고 예측했다. 금융위원회도 2단계 핀테크 발전 로드맵에서 '블록체인 등 신기술과 금융의 융합 선도'라는 목표를 핵심 추진 정책 방향으로 공표한 바 있다. 블록체인은 네트워크 참여자가 정보를 암호화해 저장하고 공유함으로써 정보의 신뢰성을 확보하도록 설계된 분산형 장부를 말한다. 생성된 순서대로 블록(정보 저장 단위)을 연결하는 과정에서 유효성을 검증해 정보의 위변조를 방지한다. 블록체인 내 정보를 조작하려면 참가자 과반수를 해킹해 그 이후의 모든 블록을 위변조해야 하기 때문에 사실상 위변조나 해킹이 일어나지 않는 구조다.금융권은 블록체인 기술이 금융시스템 전반에 영향을 미칠 수 있다는 점에 공감하고 활용방안을 다각도로 모색하고 있다. 현재 KB국민은행, 신한은행, KEB하나은행, IBK기업은행, 우리은행이 국제 블록체인 컨소시엄인 R3CEV 컨소시엄에 가입한 상황이다. 이중 국민은행은 비대면 실명확인시 증빙자료를 블록체인에 보관하고 위변조여부를 확인하는 서비스, 신한은행은 골드바 구매시 모바일 보증서를 발급하고 블록체인상 정보와 대조해 진위를 확인하는 서비스를 제공해 상용화 단계에 접어들었다.이에 따라 금융권에서 블록체인 활용도 더욱 확산될 전망이다. 현재 주목을 받고 있는 영역은 지급결제, 증권거래, 자산관리, 파생상품 영역 등이다. 블록체인 기술을 지급결제 시스템에 적용하면 금융 인프라 투자 및 유지비용을 절감할 수 있다는 기대를 받고 있다. 증권을 발행하고 거래 및 결제 과정에서 블록체인이 활용될 수 있으며 거래에 대한 스마트계약 및 동시결제 체계에 적용할 수도 있다.특히 매도자와 매수자 사이에 매칭을 통해 매매확인이 이루어지고 거래 인증을 통해 소유권이 이전되면서 결제가 이루어지는 과정에서 블록체인을 이용하면 저렴한 비용으로 안정성과 효율성을 높일 수 있다.자산관리 서비스 측면에서 블록체인을 활용하면 조작이 불가능한 상태에서 투자현황을 안전하고 정확하게 파악할 수 있으며, 투자자 지분을 간단하고 저렴하게 관리할 수 있다는 기대를 가지고 있다. 파생상품의 경우 스마트계약을 통해 두 당사자 간에 채무를 확정짓고 청산기관에 있는 자산장부에 보관된 자산을 담보장부에 이전하면서 에스크로 서비스와 같은 다양한 금융서비스를 접목함으로써 거래 상대방의 신용리스크를 줄일 수 있을 것으로 보인다.블록체인 활성화를 위한 금융당국의 역할도 중요하다. 당국 입장에서는 블록체인이 갖는 잠재력을 감안해 관련 산업의 지원 등 블록체인 생태계 조성에 관심을 기울일 필요가 있다는 것이다. 특히 현행 전자금융거래의 법체계와 블록체인이 갖는 특성이 충돌할 경우 신기술 활용에 법제도가 발목을 잡을 수도 있다. 당국은 이를 중장기적으로 검토해야 한다는 것이 전문가들의 의견이다. 서정호 금융연구원 선임연구위원은 ""국내 금융권이 블록체인을 활용하는 과정에서 발생할 수 있는 법률적 이슈에 대해 대응할 수 있는 체계를 마련해야 한다""면서 ""중장기적으로는 중앙통제형 전산시스템을 상정한 현행 전자금융거래법 조항들을 개정하거나 전자금융 관련 법체계를 원칙 중심으로 변경할 것인지 등을 검토할 필요가 있다""고 조언했다. 강은성기자 esther@dt.co.kr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        디지털타임스 홈페이지 바로가기/SNS 바로가기확바뀐 디지털타임스 연예·스포츠 섹션 바로가기&lt; Copyrights ⓒ 디지털타임스 &amp; dt.co.kr, 무단 전재 및 재배포 금지 &gt;
강은성 esther@
		",2017-01-02 17:04:01
2017.01.03,이데일리,https://n.news.naver.com/mnews/article/018/0003716680?sid=101,"비트코인, 3년만에 처음으로 1000달러 돌파","
			[이데일리 김경민 기자] 디지털 화폐인 비트코인 가격이 3년 만에 처음으로 1000달러를 돌파했다. 중국 위안화 약세 등의 여파로 비트코인 가격이 껑충 뛰고 있는 덕분이다.2일(현지시간) 비트코인 거래소인 코인데스크(Coin Desk) 데이터에 따르면, 이날 비트코인의 장중 가격은 1021달러를 기록, 지난 2013년 11월 이후 가장 높은 가격에 거래됐다. 덕분에 비트코인의 시가총액은 160억달러를 넘어서게 됐다. 비트코인 가격 상승의 주범은 위안화 가치 평가 절하가 꼽힌다. 비트코인은 전 세계 거래의 90% 이상이 이뤄지는 중국에서 가격이 대체로 정해진다. 그런데 최근 위안화 가치 하락에 자본 통제 우려가 커지면서 비트코인으로 돈이 몰렸던 것으로 추정되고 있다. CNBC는 여기에 지정학적 불확실성, 전문 투자자들의 투자 확대 등도 비트코인의 가격을 위로 끌어올리고 있다고 설명했다. 세계 최대 비트코인 거래소 중 하나인 BTC차이나의 바비 리 최고경영자(CEO)는 “우리는 제로 수준의 금리가 미치는 영향에 대해 분석하고 있다”며 “비트코인은 우리가 달러나 위안화를 보유할 필요가 없음을 상기시켜주며, 새로운 자산으로 자리 잡고 있다”고 설명했다.한편 비트코인이란 2009년 나카모토 사토시라는 이름으로 위장한 정체불명의 프로그래머가 개발한 일종의 암호화폐다. 지폐나 동전과 달리 물리적인 형태가 없는 온라인 가상화폐로, 각국의 중앙은행이 화폐 발행을 독점하고 자의적인 통화정책을 펴는 것에 대한 반발로 탄생했다. 비트코인은 완전한 익명으로 거래되며, 컴퓨터와 인터넷만 되면 누구나 관련 계좌를 만들 수 있다.김경민 (min07@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞
",2017-01-03 07:28:03
2017.01.03,지디넷코리아,https://n.news.naver.com/mnews/article/092/0002109229?sid=105,"'암호화 화폐' 비트코인, 3년만에 1천달러 돌파","
			(지디넷코리아=손경호 기자)전 세계에서 가장 많이 쓰이고 있는 암호화 화폐 비트코인 거래 가격이 3년만에 다시 1비트코인 당 1천달러(약120만원)를 넘었다. 2일(현지시간) 코인데스크, 가디언 등 외신은 2013년 11월 1비트코인 거래가격이 1천달러까지 치솟았었다. 하지만 일본 도쿄 소재 비트코인 거래소인 마운트곡스가 경영진의 관리 부실로 파산하면서 400달러까지 떨어ㅈ졌다. 이후 조금씩 반등하기 시작하면서 3년여만에 당시 가격을 회복했다. 전 세계 중앙은행들이 발행하는 통화와 비교해도 비트코인의 가치가 약 125% 상승했다고 외신들은 전했다. 현재시간 기준 비트스탬프에 따르면 1비트코인당 거래가격은 1016.55달러다. 코인데스크는 1019.23달러로 집계했다.  



 비트코인 거래기록을 담기 위해 고안된 블록체인은 각종 계약서, 어음 및 수표 발행 내역, 공공문서 등에 대한 정보를 올려 위변조 여부를 검증하면서도 실시간 거래를 위한 인프라로 활  암호화 화폐인 비트코인은 온라인을 통해서만 거래할 수 있는 가상화폐의 하나로 중앙은행과 같이 별도 통화 발행 기관이 없이도 누구나 사용할 수 있다. 블록체인이라는 암호화 기술 기반 인프라를 활용해 익명을 보장하면서도 모든 거래내역을 실시간으로 확인할 수 있도록 했다. 가상화폐이다보니 환율 걱정없이 전 세계에서 사용될 수 있다는 점도 장점이다. 그러나 비트코인은 그동안 익명을 보장한다는 장점이 오히려 치명적인 약점이 되기도 했다. 비트코인을 돈세탁이나 조세회피, 불법 마약거래, 크립토락커 등과 같이 랜섬웨어를 심어놓은 뒤 이를 풀어주는 대가로 쓰여왔기 때문이다. 최근 비트코인 가격 상승세에 대해 시장전문가들은 지난해 위안화 가치가 7% 가량 하락하면서 중국 투자자들이 다른 통화를 찾고 있기 때문이라는 분석을 내놓았다. 크립토코인 등 비트코인 전문 웹진에 따르면 2017으로 해가 바뀌면서 24시간 동안 중국 내 비트코인 거래 규모는 500만 비트코인에 달했다. 이는 380억 위안, 한화로는 6조5천827억4천만원에 이른다. 이밖에도 인도 나렌드라 모디 총리가 지난해 11월 500루피, 1천루피 짜리 고액권 화폐 유통을 중단한다고 밝히면서 현금부족현상에 시달렸던 것도 상대적으로 비트코인이 활발하게 유통되는 계기가 됐을 것이라는 추측도 나온다.  



   손경호 기자(sontech@zdnet.co.kr)
",2017-01-03 10:49:02
2017.01.03,IT조선,http://it.chosun.com/,"비즈니스로 진화한 사이버 범죄, ‘한국형 랜섬웨어’ 현실로",,None
2017.01.03,아이뉴스24,https://n.news.naver.com/mnews/article/031/0000398034?sid=105,"KISA, 암호기술팀·블록체인TF 신설","
			&lt;아이뉴스24&gt;[아이뉴스24 성지은기자] 한국인터넷진흥원(KISA)이 암호기술 조직과 블록체인 활성화 조직을 신설해 배경에 관심이 쏠리고 있다. 이번 조직 등 신설은 최근 중요성이 강조되고 있는 암호기술의 연구와 확산을 지원하고, 미래 먹거리로 관심받고 있는 블록체인을 비금융 분야에서 활성화하기 위한 차원이다.3일 KISA는 올해 조직 개편을 통해 정보보호산업본부 산하에 암호화기술팀을 만들고, 인터넷기반본부 아래 블록체인확산지원테스크포스(TF)를 신설했다고 밝혔다. 암호기술팀은 과거에도 있었으나 지난 2009년 7월 한국정보보호진흥원, 한국인터넷진흥원, 정보통신국제협력진흥원이 현재의 KISA로 통합되면서 차세대 인증보안팀에 흡수된 바 있다. 그러다 암호기술의 중요성이 강조되면서 올해 이를 부활시킨 것. 



실제로 최근 양자적(물리적) 성질을 이용, 해독이 불가능하고 해킹과 도청에서 안전한 기술로 양자암호기술이 주목받고 있다. 특히 사물인터넷(IoT) 환경이 확대되면서 저사양 기기에 적용할 수 있는 경량화된 암호화 기술에 대한 요구가 높아지고 있다.여기에 해커들의 공격을 예방하고 사고 분석에도 암호기술의 중요성은 더욱 강조되는 분위기다. 최근 해커들은 악성코드를 암호화해 분석을 어렵게 하고, 데이터를 암호화한 뒤 금전을 요구하는 '랜섬웨어' 공격을 단행하고 있다. 이러한 공격을 막고 사고를 분석하기 위해 암호기술에 대한 연구가 강조되고 있는 것.손경호 KISA 단장은 ""안전한 산업 환경을 조성하기 위해 암호기술이 강조되는 상황""이라며 ""앞으로 암호기술팀은 암호 원천기술에 대한 연구개발, 암호모듈 검증 및 취약점 평가, 민간 분야의 암호 산업 육성 등을 맡아 진행할 것""이라고 설명했다.아울러 융합서비스지원팀 소속으로 연말까지 운영되는 블록체인확산지원TF는 비금융분야의 블록체인 확산을 지원하게 된다. 지난해 11월 미래창조과학부 주재로 열린 '제35차 정보통신기술(ICT) 정책 해우소'에서 블록체인 기술 활성화 방안을 논의한 것이 이번 TF 신설의 계기가 됐다.블록체인은 중앙집중형 서버에 데이터를 보관하는 기존 방식과 달리 거래에 참여하는 모든 사용자에게 내용을 분산하고 기록하는 일종의 '디지털 분산 장부'다. 데이터를 분산함으로써 위조와 해킹을 막고, 관리 비용을 절감할 수 있어 최근 여러 산업 분야에서 관심이 집중되고 있다.블록체인 기술은 암호화 화폐의 일종인 비트코인의 기반 기술로 활용되기 때문에 여태까지는 주로 금융권에서 다뤄왔다. 그러나 블록체인 기술은 비금융 분야에서도 다양하게 접목할 수 있을 것으로 기대를 모으고 있다.가령 블록체인을 통해 스마트 계약을 체결할 수 있다. 조건이 충족되면 자동으로 계약 내용이 처리되도록 해 계약을 재검토하는 데 드는 비용을 절약할 수 있는 것. 이러한 방식을 활용해 정부의 행정처리도 신속하게 진행할 수 있을 것으로 예상된다.KISA 관계자는 ""블록체인 활성화 방안을 연구하고 제도개선 방안을 마련하는 등 비금융 분야 블록체인 활성화에 힘쓸 것""이라며 ""영역별 블록체인 얼라이언스를 구축하고, 한국형 블록체인 인프라 구축을 위한 기술개발과 시범사업을 추진하는 등 여러 가지 지원을 이어나갈 것""이라고 설명했다./성지은기자 buildcastle@inews24.com▶프리미엄 뉴스서비스 아이뉴스24▶연예스포츠 조이뉴스24, 생생한 라이브캐스트[ⓒ 아이뉴스24 무단전재 및 재배포 금지]
",2017-01-03 16:48:03
2017.01.03,국방일보,http://kookbang.dema.mil.kr,교황청의 문장.잉글랜드 국기 모두 전쟁에서 만들어진 ‘심벌’,,None
2017.01.03,A2면 1단,https://n.news.naver.com/mnews/article/015/0003709381?sid=104,비트코인 1000달러 넘었다,"
2013년 11월 이후 최고""중국 위안화 약세 때문""[ 뉴욕=이심기 기자  ] 



디지털화폐 비트코인 가격이 1000달러를 돌파했다. 2013년 11월 이후 최고 수준이다. CNBC 등 외신들은 2일(현지시간) 디지털화폐 정보를 제공하는 코인데스크 자료를 인용, 1비트코인이 1021달러에 거래되고 있다고 전했다. 비트코인 가격은 지난해 125% 급등하며 990달러 선까지 치솟은 뒤 올해 거래 시작과 함께 1000달러를 넘어섰다.비트코인 가격 급등세는 중국이 주도하고 있다. 중국 정부가 위안화 약세를 막기 위해 자본유출을 통제하자 비트코인으로 자금이 몰려들고 있다. 중국 비트코인거래소인 BTC차이나에서는 3일 비트코인 가격이 전날보다 1.5% 오른 1046달러(약 7442위안)를 기록했다. 중국에서는 전날 비트코인 가격이 이미 1029달러로 1000달러를 넘어섰다.비트코인은 암호화된 가상화폐의 특성상 정부 통제나 국경의 제한을 받지 않고 전 세계에서 자유롭게 사용할 수 있다. 단순 지급수단을 넘어 투자대상으로 ‘몸값’이 뛰고 있다는 설명이다.인도 정부가 지난해 부패와 탈세를 막기 위해 고액권을 전격 폐지하자 비트코인 수요가 급증한 것도 같은 맥락이다.뉴욕=이심기 특파원 sglee@hankyung.com[한경닷컴 바로가기] [스내커] [모바일한경 구독신청] ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지
		",2017-01-03 18:33:58
