CATEGORY_INCIDENT,BYLINE,byLine,PROVIDER_SUBJECT,IMAGES_CAPTION,EXTENSION,CATEGORY_NAMES,CATEGORY_INCIDENT_NAMES,PROVIDER_NEWS_ID,KPF_GABAGE_NEWS_IS,printingPage,DATE,PRINTING_PAGE,NEWS_ID,SUB_TITLE,IMAGES,KPF_ABUSING_NEWS,KPF_ABUSING_NEWS_IS,CATEGORY,PROVIDER_LINK_PAGE,PROVIDER,TITLE,PROVIDER_CODE,CONTENT
,김경민 매경이코노미 기자(kmkim@mk.co.kr),김경민 매경이코노미 기자(kmkim@mk.co.kr),500104,"페르소나 AI 서비스 화면.(랩투아이 제공)
",jpg,IT_과학>콘텐츠<font color=Gray> | </font>경제>경제일반<font color=Gray> | </font>IT_과학>모바일,,000010815450,FALSE,,20230825,,02100101.20230825170504001,,https://www.bigkinds.or.kr/resources/images/02100101/2023/08/25/02100101.20230825170504001.01,,FALSE,"008000000 008004000
002000000 002014000
008000000 008003000",http://www.mk.co.kr/article/10815450,매일경제,"코싸인 앱, 코인니스와 제휴 통해 AI 분석 서비스 제공",02100101,인공지능(AI) 핀테크 기업 랩투아이가 자체 개발한 코싸인(COSIGN) 앱의 페르소나 AI 뉴스를 코인뉴스 전문 커뮤니티 코인니스에서 선보인다.<br/>페르소나 AI 뉴스는 랩투아이가 코싸인에서 새롭게 선보이는 AI 뉴스 분석 콘텐츠다. 가상의 페르소나 AI 캐릭터가 개인 투자자들이 이해하기 어려운 디지털자산 뉴스를 대화 형태로 쉽고 재미있게 해설한다. 현재..
,한영준 기자 (fair@fnnews.com),한영준 기자 (fair@fnnews.com),일반,,jpg,경제>증권_증시<font color=Gray> | </font>경제>금융_재테크<font color=Gray> | </font>경제>외환,,202308250832109188,FALSE,,20230825,,02100501.20230825094135001,,https://www.bigkinds.or.kr/resources/images/02100501/2023/08/25/02100501.20230825094135001.01,,FALSE,"002000000 002006000
002000000 002008000
002000000 002002000",http://www.fnnews.com/news/202308250832109188,파이낸셜뉴스,"탈중앙화의 위기...""디파이 예치금, 2021년 이후 최저""",02100501,[파이낸셜뉴스] 탈중앙화금융(DeFi·디파이) 총예치 금액(TVL)이 지난 2021년 2월 이후 최저치를 보였다. 25일 디파이 데이터 플랫폼 디파이라마에 따르면 디파이 프로토콜의 TVL이 이달 24일 기준 378억달러(약 50조3146원)를 기록했다. <br/> <br/>올해 4월 20일(499억달러) 400억달러대로 주저 앉은 이후 4개월 만에 400억달러선까지 ..
"1 8 30
4 12 51",김주리 기자,김주리 기자,"국제
국제일반
국제일반",사진=이미지투데이,jpg,IT_과학>보안<font color=Gray> | </font>IT_과학>콘텐츠<font color=Gray> | </font>IT_과학>모바일,범죄>범죄일반>사기<font color=Gray> | </font>사회>사회문제>미성년범죄,29TJ77R5AF,FALSE,0,20230824,0,02100311.20230824192036001,,https://www.bigkinds.or.kr/resources/images/02100311/2023/08/24/02100311.20230824192036001.01,,FALSE,"008000000 008002000
008000000 008004000
008000000 008003000",http://www.sedaily.com/NewsView/29TJ77R5AF,서울경제,"""삼성 뚫은 해커집단, 핵심 멤버는 '10대 자폐 청소년'""",02100311,영국의 10대들이 지난 2년간 세계적 대기업들을 공격한 국제 해커집단의 핵심 멤버로 밝혀졌다. <br/> <br/><br/> 영국 서더크 형사 법원에서 배심원들은 아리온 쿠르타지(18)와 A(17)가 2021∼2022년 기업들을 공격한 해커집단 '랩서스'(LAPSUS＄)의 일원이라고 결론 내렸다고 BBC 등이 23일(현지시간) 보도했다. <br/> <br/><br/> 배심원들은 이들이 컴퓨터 해..
,원은미,원은미,"아주경제
금융
암호화폐",[사진=화성TNG],jpg,국제>중국<font color=Gray> | </font>IT_과학>모바일<font color=Gray> | </font>IT_과학>콘텐츠,,20230824140633229,FALSE,,20230824,,02100851.20230824142006001,,https://www.bigkinds.or.kr/resources/images/02100851/2023/08/24/02100851.20230824142006001.01,,FALSE,"005000000 005002000
008000000 008003000
008000000 008004000",https://www.ajunews.com/view/20230824140633229,아주경제,"XRUN LCC, 화성TNG·지앙수 수리아 中 블록체인 사와 업무 제휴",02100851,"[사진=화성TNG] <br/>블록체인 탈중앙화 금융 플랫폼 XRUNpay를 운영하는 XRUN LCC과 화성TNG, 중국 지앙수 수리아 블록체인 기술 유한공사가 업무 제휴를 체결했다고 24일 밝혔다. <br/> <br/>3사는 중국 관광객 국내 유치사업을 전개하고 중국 틱톡(도우인)을 통한 K팝 굿즈 라이브커머스 사업을 전개할 예정이다. <br/> <br/>XRUN LCC는 멀티 플랫폼 서.."
1 8 30,문지연 기자,문지연 기자,,/일러스트=조선디자인랩 이민경,jpg,IT_과학>보안<font color=Gray> | </font>IT_과학>인터넷_SNS<font color=Gray> | </font>IT_과학>모바일,범죄>범죄일반>사기,2023082401112,FALSE,,20230824,,01100801.20230824103202001,,https://www.bigkinds.or.kr/resources/images/01100801/2023/08/24/01100801.20230824103202001.01,,FALSE,"008000000 008002000
008000000 008005000
008000000 008003000",https://www.chosun.com/international/international_general/2023/08/24/NV7P2IOMSJD7BLYMV4H5IM7A6M/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,조선일보,삼성·LG 뚫었던 해커집단 ‘랩서스’ 정체… 핵심 멤버는 자폐증 10대,01100801,영국 10대 청소년 두 명이 2021년부터 세계적인 대기업들을 연달아 공격한 국제 해커집단 ‘랩서스’(LAPSUS＄)의 핵심 멤버라는 현지 법원 결론이 나왔다. 다만 이들이 자폐증을 앓고 있어 그동안의 범행 의도에 대해서는 따지지 않은 것으로 전해졌다. <br/> <br/>23일(현지시각) BBC 등에 따르면 영국 서더크 형사법원 배심원단은 아리온 쿠르타지(18)와 ..
,"박성준
박성준·이상우","박성준
박성준·이상우","아주경제
금융
암호화폐",[사진=아주경제DB],jpg,IT_과학>보안<font color=Gray> | </font>IT_과학>콘텐츠<font color=Gray> | </font>경제>증권_증시,,20230824070058800,FALSE,,20230824,,02100851.20230824070806001,,https://www.bigkinds.or.kr/resources/images/02100851/2023/08/24/02100851.20230824070806001.01,,FALSE,"008000000 008002000
008000000 008004000
002000000 002006000",https://www.ajunews.com/view/20230824070058800,아주경제,[아주경제 코이너스 브리핑] 美금리 부담 덜어낸 비트코인 2만6500달러대,02100851,[사진=아주경제 DB] <br/>  美금리 부담 덜어낸 비트코인 2만6500달러대국채수익률 하락과 함께 위험자산 선호 심리도 살아났다. 2만6000달러 선이 무너졌던 비트코인 가격도 소폭 회복했다. <br/> <br/>24일 글로벌코인시황사이트 코인마켓캡에 따르면 이날 오전 6시 30분 비트코인 가격은 하루 전보다 3.63% 올라선 2만6542달러를 기록하고 있다. 시가총액..
,이정윤,이정윤,책,"'크립토 사피엔스와 변화하는 세상의 질서' 를 펴낸 법무법인 태평양 박종백 변호사. 사진=허영한 기자 younghan@
",jpg,IT_과학>보안,,2023081809053327907,FALSE,,20230824,,02100801.20230824063138001,"‘크립토 사피엔스와 변화하는 세상의 질서’ 저자 박종백 변호사 
블록체인·토큰화 관련 사회적·정책적 이해 필수인 크립토 세상 
블록체인은 금융·투자로만 존재하지 않아…기존과 다른 사회적·제도적 기술",https://www.bigkinds.or.kr/resources/images/02100801/2023/08/24/02100801.20230824063138001.01,,FALSE,008000000 008002000,https://view.asiae.co.kr/article/2023081809053327907,아시아경제,[책으로 만난 사람]“블록체인 세상이 온다…크립토 문해력 갖춰야”,02100801,"2021년 가상자산 투자 열풍이 대한민국을 달궜다. 비트코인 가격은 천정부지로 치솟아 8000만원을 넘기기도 했다. 최근 열기가 식었다고는 하지만 여전히 가상자산을 투자처로 삼는 사람은 넘친다. 일확천금을 노리는 이들도 상당하다. 이런 과정에서 가상자산이 무엇인지, 블록체인이 어떤 의미인지에 대한 이해와 고민보다는 투자처로서의 매력과 변동성만 부각됐다..."
1 8 30,뉴욕=박준식|특파원|,뉴욕=박준식|특파원|,W0201,비트코인,jpg,IT_과학>보안<font color=Gray> | </font>국제>미국_북미,범죄>범죄일반>사기,2023082404283170917,FALSE,,20230824,,02100201.20230824043254001,,https://www.bigkinds.or.kr/resources/images/02100201/2023/08/24/02100201.20230824043254001.01,,FALSE,"008000000 008002000
005000000 005003000",http://news.moneytoday.co.kr/view/mtview.php?no=2023082404283170917&type=2,머니투데이,북한 돈세탁 암호화폐 '토네이도 캐시' 설립자 2인 美서 기소,02100201,"[머니투데이 뉴욕=박준식 특파원] 러시아 암호화폐로 알려진 토네이도 캐시(Tornado Cash) 설립자 2명이 범죄 수익금 10억 달러 이상을 북한과 관계해 세탁한 혐의로 미국에서 기소됐다.<br/><br/>23일(현지시간) 미국 법무부에 따르면 로만 스톰과 로만 세메노프는 제재 위반과 토네이도 캐시를 통한 돈세탁 혐의로 기소됐다. 이들의 혐의에는 자금세탁 공모, .."
"1 8 27
1 8 30",워싱턴/이민석 특파원,워싱턴/이민석 특파원,,북한 해커들이 탈취한 1조3000억원에 달하는 가상화폐를 돈세탁하는 것을 조력해온 가상화폐 기업 토네이도 캐시. /인터넷캡쳐,jpg,정치>북한<font color=Gray> | </font>IT_과학>IT_과학일반,범죄>범죄일반>절도<font color=Gray> | </font>범죄>범죄일반>사기,2023082400281,FALSE,,20230824,,01100801.20230824031008001,"FBI 국장 “키보드 뒤에 숨은 해커, 우리로부터 숨기 힘들 것”",https://www.bigkinds.or.kr/resources/images/01100801/2023/08/24/01100801.20230824031008001.01,,FALSE,"001000000 001001000
008000000 008006000",https://www.chosun.com/international/us/2023/08/24/RQJUULN25FEMBD5RZWGXPMYOQ4/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,조선일보,"‘北가상화폐 절도’ 압박 수위 높이는 美, ‘1조’ 자금 세탁 조력자 체포·기소",01100801,미 법무부는 북한 해커들이 훔친 가상화폐 자금의 세탁을 도운 가상화폐 기업 ‘토네이도 캐시’의 창업자 2명을 기소하고 이 중 한명을 체포했다고 23일(현지 시각) 발표했다. 이 기업은 그간 북한 정찰총국과 연계된 해커 조직 ‘라자루스 그룹’ 소속의 해커들이 탈취한 가상화폐를 돈 세탁하는 것을 도운 것으로 전해졌다. 법무부는 그 금액이 10억달러(약 1조..
1 6 22,김인엽,김인엽,,,,경제>외환<font color=Gray> | </font>국제>러시아,범죄>기업범죄>내부자거래,2023082335461,FALSE,A10,20230823,A10,02100601.20230823180319001,,,,FALSE,"002000000 002002000
005000000 005005000",https://www.hankyung.com/international/article/2023082335461,한국경제,"美, 코인거래소 바이낸스 수사…러시아 자금 세탁 묵인 혐의",02100601,세계 최대 암호화폐거래소인 바이낸스가 대러시아 금융 제재 위반 혐의로 미국 정부의 수사선상에 올랐다. <br/> <br/>월스트리트저널(WSJ)은 22일(현지시간) 내부 소식통을 인용해 미 법무부가 대러시아 제재 위반 가능성과 관련해 바이낸스를 수사하고 있다고 전했다. 법무부는 서방 제재로 국제 송금 및 환전이 금지된 러시아 루블화를 자금 세탁하는 통로로 바이낸스가 ..
